. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	3   	-3226789.72233	Yes        	4        	4.000    	0.000    	 0.37562   0.13630   0.17317   0.31491	-0.87667   0.17725   0.32593   0.37349  
      	     	          	           	          	           	             	                                      	 0.48844  -1.52332   0.12351   0.91137  
      	     	          	           	          	           	             	                                      	 0.70699   0.09722  -0.97543   0.17123  
      	     	          	           	          	           	             	                                      	 0.44548   0.39447   0.09415  -0.93410  

  #2	3   	-3225891.08412	Yes        	4        	4.000    	0.000    	 0.37505   0.13653   0.17349   0.31493	-0.87810   0.17829   0.32489   0.37491  
      	     	          	           	          	           	             	                                      	 0.48976  -1.51710   0.12165   0.90569  
      	     	          	           	          	           	             	                                      	 0.70234   0.09573  -0.97335   0.17528  
      	     	          	           	          	           	             	                                      	 0.44647   0.39264   0.09656  -0.93568  

  #3	3   	-3227423.21892	Yes        	4        	4.000    	0.000    	 0.37508   0.13641   0.17347   0.31504	-0.87463   0.17949   0.32431   0.37083  
      	     	          	           	          	           	             	                                      	 0.49356  -1.53020   0.12202   0.91462  
      	     	          	           	          	           	             	                                      	 0.70122   0.09595  -0.97322   0.17605  
      	     	          	           	          	           	             	                                      	 0.44150   0.39600   0.09694  -0.93444  

  #4	3   	-3225175.76118	Yes        	4        	4.000    	0.000    	 0.37581   0.13602   0.17338   0.31478	-0.87133   0.17764   0.32345   0.37024  
      	     	          	           	          	           	             	                                      	 0.49079  -1.53504   0.12607   0.91817  
      	     	          	           	          	           	             	                                      	 0.70109   0.09891  -0.97592   0.17593  
      	     	          	           	          	           	             	                                      	 0.44202   0.39675   0.09690  -0.93568  

  #5	3   	-3226141.17860	Yes        	4        	4.000    	0.000    	 0.37578   0.13645   0.17301   0.31476	-0.87250   0.17800   0.32178   0.37271  
      	     	          	           	          	           	             	                                      	 0.49021  -1.53133   0.12535   0.91577  
      	     	          	           	          	           	             	                                      	 0.69889   0.09886  -0.97157   0.17383  
      	     	          	           	          	           	             	                                      	 0.44497   0.39699   0.09555  -0.93751  

  #6	3   	-3223377.44576	Yes        	4        	4.000    	0.000    	 0.37529   0.13613   0.17324   0.31533	-0.87834   0.17910   0.32471   0.37453  
      	     	          	           	          	           	             	                                      	 0.49374  -1.52558   0.12217   0.90966  
      	     	          	           	          	           	             	                                      	 0.70342   0.09600  -0.97200   0.17258  
      	     	          	           	          	           	             	                                      	 0.44575   0.39272   0.09481  -0.93328  

  #7	3   	-3227359.21142	Yes        	4        	4.000    	0.000    	 0.37559   0.13583   0.17318   0.31540	-0.87521   0.17853   0.32405   0.37263  
      	     	          	           	          	           	             	                                      	 0.49369  -1.53261   0.12230   0.91663  
      	     	          	           	          	           	             	                                      	 0.70281   0.09592  -0.97291   0.17417  
      	     	          	           	          	           	             	                                      	 0.44374   0.39474   0.09563  -0.93411  

  #8	3   	-3224968.89589	Yes        	4        	4.000    	0.000    	 0.37619   0.13644   0.17314   0.31423	-0.87437   0.17819   0.32422   0.37196  
      	     	          	           	          	           	             	                                      	 0.49130  -1.52455   0.12002   0.91323  
      	     	          	           	          	           	             	                                      	 0.70447   0.09458  -0.97284   0.17379  
