"","rn","V1"
"1","OG0000000:",2
"2","OG0000001:",2
"3","OG0000002:",2
"4","OG0000003:",3
"5","OG0000004:",2
"6","OG0000005:",3
"7","OG0000006:",3
"8","OG0000007:",2
"9","OG0000008:",3
"10","OG0000009:",2
"11","OG0000010:",3
"12","OG0000011:",2
"13","OG0000012:",2
"14","OG0000013:",3
"15","OG0000014:",3
"16","OG0000015:",3
"17","OG0000016:",3
"18","OG0000017:",2
"19","OG0000018:",2
"20","OG0000019:",3
"21","OG0000020:",3
"22","OG0000021:",3
"23","OG0000022:",3
"24","OG0000023:",3
"25","OG0000024:",3
"26","OG0000025:",3
"27","OG0000026:",3
"28","OG0000027:",3
"29","OG0000028:",2
"30","OG0000029:",2
"31","OG0000030:",2
"32","OG0000031:",3
"33","OG0000032:",3
"34","OG0000033:",3
"35","OG0000034:",3
"36","OG0000035:",3
"37","OG0000036:",3
"38","OG0000037:",3
"39","OG0000038:",3
"40","OG0000039:",2
"41","OG0000040:",3
"42","OG0000041:",2
"43","OG0000042:",3
"44","OG0000043:",2
"45","OG0000044:",2
"46","OG0000045:",3
"47","OG0000046:",3
"48","OG0000047:",3
"49","OG0000048:",3
"50","OG0000049:",3
"51","OG0000050:",3
"52","OG0000051:",3
"53","OG0000052:",3
"54","OG0000053:",2
"55","OG0000054:",3
"56","OG0000055:",3
"57","OG0000056:",3
"58","OG0000057:",3
"59","OG0000058:",3
"60","OG0000059:",3
"61","OG0000060:",3
"62","OG0000061:",2
"63","OG0000062:",2
"64","OG0000063:",2
"65","OG0000064:",2
"66","OG0000065:",2
"67","OG0000066:",2
"68","OG0000067:",2
"69","OG0000068:",2
"70","OG0000069:",2
"71","OG0000070:",2
"72","OG0000071:",3
"73","OG0000072:",3
"74","OG0000073:",3
"75","OG0000074:",3
"76","OG0000075:",3
"77","OG0000076:",3
"78","OG0000077:",3
"79","OG0000078:",3
"80","OG0000079:",3
"81","OG0000080:",3
"82","OG0000081:",3
"83","OG0000082:",3
"84","OG0000083:",3
"85","OG0000084:",3
"86","OG0000085:",3
"87","OG0000086:",3
"88","OG0000087:",3
"89","OG0000088:",3
"90","OG0000089:",3
"91","OG0000090:",3
"92","OG0000091:",3
"93","OG0000092:",3
"94","OG0000093:",3
"95","OG0000094:",3
"96","OG0000095:",3
"97","OG0000096:",3
"98","OG0000097:",3
"99","OG0000098:",3
"100","OG0000099:",3
"101","OG0000100:",3
"102","OG0000101:",3
"103","OG0000102:",3
"104","OG0000103:",3
"105","OG0000104:",3
"106","OG0000105:",3
"107","OG0000106:",3
"108","OG0000107:",3
"109","OG0000108:",3
"110","OG0000109:",3
"111","OG0000110:",3
"112","OG0000111:",3
"113","OG0000112:",3
"114","OG0000113:",3
"115","OG0000114:",3
"116","OG0000115:",3
"117","OG0000116:",3
"118","OG0000117:",3
"119","OG0000118:",3
"120","OG0000119:",3
"121","OG0000120:",3
"122","OG0000121:",3
"123","OG0000122:",3
"124","OG0000123:",3
"125","OG0000124:",3
"126","OG0000125:",3
"127","OG0000126:",3
"128","OG0000127:",3
"129","OG0000128:",3
"130","OG0000129:",3
"131","OG0000130:",3
"132","OG0000131:",3
"133","OG0000132:",3
"134","OG0000133:",3
"135","OG0000134:",3
"136","OG0000135:",3
"137","OG0000136:",3
"138","OG0000137:",3
"139","OG0000138:",3
"140","OG0000139:",3
"141","OG0000140:",3
"142","OG0000141:",3
"143","OG0000142:",3
"144","OG0000143:",3
"145","OG0000144:",3
"146","OG0000145:",3
"147","OG0000146:",3
"148","OG0000147:",3
"149","OG0000148:",3
"150","OG0000149:",3
"151","OG0000150:",3
"152","OG0000151:",3
"153","OG0000152:",3
"154","OG0000153:",3
"155","OG0000154:",3
"156","OG0000155:",3
"157","OG0000156:",3
"158","OG0000157:",3
"159","OG0000158:",3
"160","OG0000159:",3
"161","OG0000160:",3
"162","OG0000161:",3
"163","OG0000162:",3
"164","OG0000163:",3
"165","OG0000164:",3
"166","OG0000165:",3
"167","OG0000166:",3
"168","OG0000167:",3
"169","OG0000168:",3
"170","OG0000169:",3
"171","OG0000170:",3
"172","OG0000171:",3
"173","OG0000172:",3
"174","OG0000173:",3
"175","OG0000174:",3
"176","OG0000175:",3
"177","OG0000176:",3
"178","OG0000177:",3
"179","OG0000178:",3
"180","OG0000179:",3
"181","OG0000180:",3
"182","OG0000181:",3
"183","OG0000182:",3
"184","OG0000183:",3
"185","OG0000184:",3
"186","OG0000185:",3
"187","OG0000186:",3
"188","OG0000187:",3
"189","OG0000188:",3
"190","OG0000189:",3
"191","OG0000190:",3
"192","OG0000191:",3
"193","OG0000192:",3
