"","x"
"1","OG0000113:"
"2","OG0000116:"
"3","OG0000147:"
"4","OG0000148:"
"5","OG0000162:"
"6","OG0000214:"
"7","OG0000263:"
"8","OG0000273:"
"9","OG0000406:"
"10","OG0000448:"
"11","OG0000455:"
"12","OG0000479:"
"13","OG0000480:"
"14","OG0000489:"
"15","OG0000490:"
"16","OG0000625:"
"17","OG0000626:"
"18","OG0000763:"
"19","OG0000764:"
"20","OG0000765:"
"21","OG0000775:"
"22","OG0000777:"
"23","OG0000825:"
"24","OG0000918:"
"25","OG0000919:"
"26","OG0000920:"
"27","OG0001004:"
"28","OG0001005:"
"29","OG0001027:"
"30","OG0001056:"
"31","OG0001128:"
"32","OG0001182:"
"33","OG0001246:"
"34","OG0001294:"
"35","OG0001440:"
"36","OG0001468:"
"37","OG0001512:"
"38","OG0001565:"
"39","OG0001658:"
"40","OG0001714:"
"41","OG0001993:"
"42","OG0002044:"
"43","OG0002045:"
"44","OG0002178:"
"45","OG0002360:"
"46","OG0002373:"
"47","OG0002435:"
"48","OG0002542:"
"49","OG0002545:"
"50","OG0002584:"
"51","OG0002653:"
"52","OG0002664:"
"53","OG0002683:"
"54","OG0002731:"
"55","OG0002746:"
"56","OG0002837:"
"57","OG0002867:"
"58","OG0002868:"
"59","OG0002915:"
"60","OG0002920:"
"61","OG0002950:"
"62","OG0002958:"
"63","OG0002985:"
"64","OG0003057:"
"65","OG0003058:"
"66","OG0003061:"
"67","OG0003062:"
"68","OG0003063:"
"69","OG0003066:"
"70","OG0003189:"
"71","OG0003205:"
"72","OG0003215:"
"73","OG0003222:"
"74","OG0003274:"
"75","OG0003339:"
"76","OG0003340:"
"77","OG0003343:"
"78","OG0003352:"
"79","OG0003353:"
"80","OG0003354:"
"81","OG0003358:"
"82","OG0003369:"
"83","OG0003501:"
"84","OG0003561:"
"85","OG0003616:"
"86","OG0003629:"
"87","OG0003638:"
"88","OG0003651:"
"89","OG0003667:"
"90","OG0003993:"
"91","OG0004069:"
"92","OG0004079:"
"93","OG0004099:"
"94","OG0004340:"
"95","OG0004341:"
"96","OG0004342:"
"97","OG0004344:"
"98","OG0004372:"
"99","OG0004397:"
"100","OG0004500:"
"101","OG0004506:"
"102","OG0004508:"
"103","OG0004509:"
"104","OG0005663:"
"105","OG0005664:"
"106","OG0005665:"
"107","OG0005666:"
"108","OG0005667:"
"109","OG0005668:"
"110","OG0005669:"
"111","OG0005670:"
"112","OG0005671:"
"113","OG0005672:"
"114","OG0005673:"
"115","OG0005674:"
"116","OG0005675:"
"117","OG0005676:"
"118","OG0005677:"
"119","OG0005678:"
"120","OG0005679:"
"121","OG0005680:"
"122","OG0005681:"
"123","OG0005682:"
"124","OG0005683:"
"125","OG0005684:"
"126","OG0005685:"
"127","OG0005686:"
"128","OG0005687:"
"129","OG0005688:"
"130","OG0005689:"
"131","OG0005690:"
"132","OG0005691:"
"133","OG0005692:"
"134","OG0005693:"
"135","OG0005694:"
"136","OG0005695:"
"137","OG0005696:"
"138","OG0005697:"
"139","OG0005698:"
"140","OG0005699:"
"141","OG0005700:"
"142","OG0005701:"
"143","OG0005702:"
"144","OG0005703:"
"145","OG0005704:"
"146","OG0005705:"
"147","OG0005706:"
"148","OG0005707:"
"149","OG0005708:"
"150","OG0005709:"
"151","OG0005710:"
"152","OG0005711:"
"153","OG0005712:"
"154","OG0005713:"
"155","OG0005714:"
"156","OG0005715:"
"157","OG0005716:"
"158","OG0005717:"
"159","OG0005718:"
"160","OG0005719:"
"161","OG0005720:"
"162","OG0005721:"
"163","OG0005722:"
"164","OG0000110:"
"165","OG0000112:"
"166","OG0000155:"
