"","rn","V1"
"1","OG0000000:",9
"2","OG0000001:",9
"3","OG0000002:",8
"4","OG0000003:",8
"5","OG0000004:",8
"6","OG0000005:",6
"7","OG0000006:",4
"8","OG0000007:",8
"9","OG0000008:",9
"10","OG0000009:",7
"11","OG0000010:",8
"12","OG0000011:",9
"13","OG0000012:",9
"14","OG0000013:",6
"15","OG0000014:",7
"16","OG0000015:",9
"17","OG0000016:",9
"18","OG0000017:",7
"19","OG0000018:",9
"20","OG0000019:",9
"21","OG0000020:",9
"22","OG0000021:",9
"23","OG0000022:",8
"24","OG0000023:",5
"25","OG0000024:",5
"26","OG0000025:",6
"27","OG0000026:",5
"28","OG0000027:",8
"29","OG0000028:",8
"30","OG0000029:",9
"31","OG0000030:",7
"32","OG0000031:",8
"33","OG0000032:",9
"34","OG0000033:",8
"35","OG0000034:",9
"36","OG0000035:",42
"37","OG0000036:",42
"38","OG0000037:",42
"39","OG0000038:",42
"40","OG0000039:",42
"41","OG0000040:",42
"42","OG0000041:",16
"43","OG0000042:",32
"44","OG0000043:",40
"45","OG0000044:",41
"46","OG0000045:",33
"47","OG0000046:",33
"48","OG0000047:",28
"49","OG0000048:",12
"50","OG0000049:",7
"51","OG0000050:",39
"52","OG0000051:",16
"53","OG0000052:",34
"54","OG0000053:",24
"55","OG0000054:",23
"56","OG0000055:",42
"57","OG0000056:",26
"58","OG0000057:",42
"59","OG0000058:",40
"60","OG0000059:",40
"61","OG0000060:",37
"62","OG0000061:",40
"63","OG0000062:",41
"64","OG0000063:",13
"65","OG0000064:",35
"66","OG0000065:",42
"67","OG0000066:",42
"68","OG0000067:",32
"69","OG0000068:",28
"70","OG0000069:",38
"71","OG0000070:",35
"72","OG0000071:",23
"73","OG0000072:",40
"74","OG0000073:",24
"75","OG0000074:",26
"76","OG0000075:",32
"77","OG0000076:",27
"78","OG0000077:",42
"79","OG0000078:",34
"80","OG0000079:",42
"81","OG0000080:",42
"82","OG0000081:",30
"83","OG0000082:",21
"84","OG0000083:",32
"85","OG0000084:",39
"86","OG0000085:",42
"87","OG0000086:",30
"88","OG0000087:",38
"89","OG0000088:",34
"90","OG0000089:",37
"91","OG0000090:",14
"92","OG0000091:",42
"93","OG0000092:",42
"94","OG0000093:",33
"95","OG0000094:",42
"96","OG0000095:",42
"97","OG0000096:",42
"98","OG0000097:",40
"99","OG0000098:",42
"100","OG0000099:",42
"101","OG0000100:",42
"102","OG0000101:",41
"103","OG0000102:",42
"104","OG0000103:",42
"105","OG0000104:",34
"106","OG0000105:",29
"107","OG0000106:",38
"108","OG0000107:",12
"109","OG0000108:",25
"110","OG0000109:",25
"111","OG0000110:",42
"112","OG0000111:",42
"113","OG0000112:",42
"114","OG0000113:",42
"115","OG0000114:",42
"116","OG0000115:",42
