"","x"
"1","OG0000011:"
"2","OG0000039:"
"3","OG0000058:"
"4","OG0000127:"
"5","OG0000135:"
"6","OG0000179:"
"7","OG0000183:"
"8","OG0000280:"
"9","OG0000311:"
"10","OG0000338:"
"11","OG0000339:"
"12","OG0000362:"
"13","OG0000575:"
"14","OG0000676:"
"15","OG0000704:"
"16","OG0000705:"
"17","OG0000716:"
"18","OG0000724:"
"19","OG0000803:"
"20","OG0000923:"
"21","OG0001101:"
"22","OG0001187:"
"23","OG0001210:"
"24","OG0001245:"
"25","OG0001264:"
"26","OG0001280:"
"27","OG0001281:"
"28","OG0001315:"
"29","OG0001341:"
"30","OG0001377:"
"31","OG0001382:"
"32","OG0001431:"
"33","OG0001495:"
"34","OG0001496:"
"35","OG0001577:"
"36","OG0001606:"
"37","OG0001630:"
"38","OG0001647:"
"39","OG0001667:"
"40","OG0001668:"
"41","OG0001702:"
"42","OG0001723:"
"43","OG0001764:"
"44","OG0001864:"
"45","OG0001870:"
"46","OG0001917:"
"47","OG0002009:"
"48","OG0002017:"
"49","OG0002032:"
"50","OG0002033:"
"51","OG0002050:"
"52","OG0002051:"
"53","OG0002088:"
"54","OG0002110:"
"55","OG0002174:"
"56","OG0002210:"
"57","OG0002213:"
"58","OG0002232:"
"59","OG0002240:"
"60","OG0002280:"
"61","OG0002281:"
"62","OG0002477:"
"63","OG0002512:"
"64","OG0002518:"
"65","OG0002524:"
"66","OG0002608:"
"67","OG0002609:"
"68","OG0002682:"
"69","OG0002703:"
"70","OG0002724:"
"71","OG0002727:"
"72","OG0002739:"
"73","OG0002845:"
"74","OG0002852:"
"75","OG0002853:"
"76","OG0002931:"
"77","OG0002990:"
"78","OG0002995:"
"79","OG0002998:"
"80","OG0003025:"
"81","OG0003214:"
"82","OG0003500:"
"83","OG0003805:"
"84","OG0003885:"
"85","OG0003886:"
"86","OG0003890:"
"87","OG0004167:"
"88","OG0004170:"
"89","OG0004175:"
"90","OG0004176:"
"91","OG0004280:"
"92","OG0004281:"
"93","OG0004283:"
"94","OG0004284:"
"95","OG0004285:"
"96","OG0004286:"
"97","OG0004288:"
"98","OG0005044:"
"99","OG0005045:"
"100","OG0005046:"
"101","OG0005047:"
"102","OG0005048:"
"103","OG0005049:"
"104","OG0005050:"
"105","OG0005051:"
"106","OG0005052:"
"107","OG0005053:"
"108","OG0005054:"
"109","OG0005055:"
"110","OG0005056:"
"111","OG0005057:"
"112","OG0005058:"
"113","OG0005059:"
"114","OG0005060:"
"115","OG0005061:"
"116","OG0005062:"
"117","OG0000093:"
"118","OG0000097:"
"119","OG0000178:"
"120","OG0000236:"
"121","OG0000250:"
"122","OG0000291:"
"123","OG0000415:"
"124","OG0000421:"
"125","OG0000675:"
"126","OG0000677:"
"127","OG0000684:"
"128","OG0000685:"
"129","OG0000725:"
"130","OG0000789:"
"131","OG0000802:"
"132","OG0000804:"
"133","OG0000934:"
"134","OG0001003:"
"135","OG0001005:"
"136","OG0001026:"
"137","OG0001027:"
"138","OG0001141:"
"139","OG0001182:"
"140","OG0001244:"
"141","OG0001265:"
"142","OG0001296:"
"143","OG0001353:"
"144","OG0001414:"
"145","OG0001466:"
"146","OG0001473:"
"147","OG0001525:"
"148","OG0001534:"
"149","OG0001617:"
"150","OG0001633:"
"151","OG0001715:"
"152","OG0001958:"
"153","OG0001963:"
"154","OG0001964:"
"155","OG0001998:"
"156","OG0002011:"
