"rast_id","sample_id","species","organism_number"
"1196095.100","Choc3-5_m","Gilliamella apicola",1
"1196095.101","Choc4-2_m","Gilliamella apicola",2
"1196095.102","Choc5-1_m","Gilliamella apicola",3
"1196095.103","Choc6-1_m","Gilliamella apicola",4
"1196095.104","Fer1-1_m","Gilliamella apicola",5
"1196095.105","Fer2-1_m","Gilliamella apicola",6
"1196095.106","Fer4-1_m","Gilliamella apicola",7
"1196095.107","GillExp13_m","Gilliamella apicola",8
"1196095.108","Gris1-4_m","Gilliamella apicola",9
"1196095.109","Gris3-2_m","Gilliamella apicola",10
"1196095.110","HK2_m","Gilliamella apicola",11
"1196095.111","HK7_m","Gilliamella apicola",12
"1196095.112","Imp1-1_m","Gilliamella apicola",13
"1196095.113","Imp1-6_m","Gilliamella apicola",14
"1196095.114","M1-2G_m","Gilliamella apicola",15
"1196095.115","M6-3G_m","Gilliamella apicola",16
"1196095.116","Nev3-1_m","Gilliamella apicola",17
"1196095.117","Nev5-1_m","Gilliamella apicola",18
"1196095.118","Nev6-6_m","Gilliamella apicola",19
"1196095.119","Occ3-1_m","Gilliamella apicola",20
"1196095.120","Occ4-3_m","Gilliamella apicola",21
"1196095.121","P54G_m","Gilliamella apicola",22
"1196095.122","P62G_m","Gilliamella apicola",23
"1196095.123","P83G_m","Gilliamella apicola",24
"1196095.124","WF3-4_m","Gilliamella apicola",25
"1196095.125","wkB7_m","Gilliamella apicola",26
"1196095.126","wkB18_m","Gilliamella apicola",27
"1196095.127","wkB72_m","Gilliamella apicola",28
"1196095.128","wkB108_m","Gilliamella apicola",29
"1196095.129","wkB112_m","Gilliamella apicola",30
"1196095.130","wkB171_m","Gilliamella apicola",31
"1196095.131","wkB178_m","Gilliamella apicola",32
"1196095.132","wkB195_m","Gilliamella apicola",33
"1196095.133","wkB233A_m","Gilliamella apicola",34
"1196095.134","wkB292_m","Gilliamella apicola",35
"1196095.135","wkB308_m","Gilliamella apicola",36
"1196095.94","App2-1_m","Gilliamella apicola",37
"1196095.95","App4-10_m","Gilliamella apicola",38
"1196095.96","App6-5_m","Gilliamella apicola",39
"1196095.97","Bif1-4_m","Gilliamella apicola",40
"1196095.98","Bim1-2_m","Gilliamella apicola",41
"1196095.99","Bim3-2_m","Gilliamella apicola",42
