"","x"
"1","OG0000035:"
"2","OG0000047:"
"3","OG0000054:"
"4","OG0000061:"
"5","OG0000069:"
"6","OG0000078:"
"7","OG0000082:"
"8","OG0000088:"
"9","OG0000089:"
"10","OG0000105:"
"11","OG0000107:"
"12","OG0000110:"
"13","OG0000114:"
"14","OG0000115:"
"15","OG0000116:"
"16","OG0000118:"
"17","OG0000119:"
"18","OG0000120:"
"19","OG0000122:"
"20","OG0000128:"
"21","OG0000129:"
"22","OG0000130:"
"23","OG0000145:"
"24","OG0000156:"
"25","OG0000171:"
"26","OG0000172:"
"27","OG0000173:"
"28","OG0000176:"
"29","OG0000204:"
"30","OG0000269:"
"31","OG0000274:"
"32","OG0000277:"
"33","OG0000278:"
"34","OG0000279:"
"35","OG0000291:"
"36","OG0000297:"
"37","OG0000298:"
"38","OG0000303:"
"39","OG0000305:"
"40","OG0000309:"
"41","OG0000310:"
"42","OG0000317:"
"43","OG0000323:"
"44","OG0000329:"
"45","OG0000332:"
"46","OG0000341:"
"47","OG0000349:"
"48","OG0000354:"
"49","OG0000359:"
"50","OG0000370:"
"51","OG0000381:"
"52","OG0000385:"
"53","OG0000400:"
"54","OG0000408:"
"55","OG0000413:"
"56","OG0000432:"
"57","OG0000434:"
"58","OG0000437:"
"59","OG0000438:"
"60","OG0000445:"
"61","OG0000475:"
"62","OG0000476:"
"63","OG0000483:"
"64","OG0000485:"
"65","OG0000502:"
"66","OG0000503:"
"67","OG0000512:"
"68","OG0000513:"
"69","OG0000516:"
"70","OG0000520:"
"71","OG0000521:"
"72","OG0000535:"
"73","OG0000542:"
"74","OG0000548:"
"75","OG0000549:"
"76","OG0000564:"
"77","OG0000574:"
"78","OG0000605:"
"79","OG0000607:"
"80","OG0000613:"
"81","OG0000619:"
"82","OG0000628:"
"83","OG0000634:"
"84","OG0000660:"
"85","OG0000669:"
"86","OG0000672:"
"87","OG0000709:"
"88","OG0000726:"
"89","OG0000801:"
"90","OG0000809:"
"91","OG0000810:"
"92","OG0000813:"
"93","OG0000814:"
"94","OG0000840:"
"95","OG0000855:"
"96","OG0000856:"
"97","OG0000857:"
"98","OG0000864:"
"99","OG0000902:"
"100","OG0000928:"
"101","OG0000929:"
"102","OG0000941:"
"103","OG0000947:"
"104","OG0000948:"
"105","OG0000954:"
"106","OG0000964:"
"107","OG0000996:"
"108","OG0000997:"
"109","OG0001037:"
"110","OG0001038:"
"111","OG0001046:"
"112","OG0001054:"
"113","OG0001055:"
"114","OG0001062:"
"115","OG0001073:"
"116","OG0001074:"
"117","OG0001075:"
"118","OG0001096:"
"119","OG0001170:"
"120","OG0001173:"
"121","OG0001174:"
"122","OG0001180:"
"123","OG0001183:"
"124","OG0001196:"
"125","OG0001202:"
