0_0: fig|1196083.48.peg.3
0_1: fig|1196083.48.peg.4
0_2: fig|1196083.48.peg.5
0_3: fig|1196083.48.peg.7
0_4: fig|1196083.48.peg.8
0_5: fig|1196083.48.peg.9
0_6: fig|1196083.48.peg.10
0_7: fig|1196083.48.peg.11
0_8: fig|1196083.48.peg.12
0_9: fig|1196083.48.peg.14
0_10: fig|1196083.48.peg.17
0_11: fig|1196083.48.peg.18
0_12: fig|1196083.48.peg.24
0_13: fig|1196083.48.peg.25
0_14: fig|1196083.48.peg.26
0_15: fig|1196083.48.peg.27
0_16: fig|1196083.48.peg.29
0_17: fig|1196083.48.peg.31
0_18: fig|1196083.48.peg.32
0_19: fig|1196083.48.peg.33
0_20: fig|1196083.48.peg.35
0_21: fig|1196083.48.peg.36
0_22: fig|1196083.48.peg.39
0_23: fig|1196083.48.peg.40
0_24: fig|1196083.48.peg.41
0_25: fig|1196083.48.peg.42
0_26: fig|1196083.48.peg.43
0_27: fig|1196083.48.peg.44
0_28: fig|1196083.48.peg.46
0_29: fig|1196083.48.peg.47
0_30: fig|1196083.48.peg.48
0_31: fig|1196083.48.peg.50
0_32: fig|1196083.48.peg.51
0_33: fig|1196083.48.peg.52
0_34: fig|1196083.48.peg.56
0_35: fig|1196083.48.peg.58
0_36: fig|1196083.48.peg.60
0_37: fig|1196083.48.peg.62
0_38: fig|1196083.48.peg.63
0_39: fig|1196083.48.peg.65
0_40: fig|1196083.48.peg.66
0_41: fig|1196083.48.peg.67
0_42: fig|1196083.48.peg.68
0_43: fig|1196083.48.peg.69
0_44: fig|1196083.48.peg.70
0_45: fig|1196083.48.peg.71
0_46: fig|1196083.48.peg.73
0_47: fig|1196083.48.peg.75
0_48: fig|1196083.48.peg.76
0_49: fig|1196083.48.peg.77
0_50: fig|1196083.48.peg.79
0_51: fig|1196083.48.peg.81
0_52: fig|1196083.48.peg.83
0_53: fig|1196083.48.peg.84
0_54: fig|1196083.48.peg.85
0_55: fig|1196083.48.peg.86
0_56: fig|1196083.48.peg.87
0_57: fig|1196083.48.peg.88
0_58: fig|1196083.48.peg.89
0_59: fig|1196083.48.peg.92
0_60: fig|1196083.48.peg.93
0_61: fig|1196083.48.peg.95
0_62: fig|1196083.48.peg.96
0_63: fig|1196083.48.peg.97
0_64: fig|1196083.48.peg.98
0_65: fig|1196083.48.peg.100
0_66: fig|1196083.48.peg.101
0_67: fig|1196083.48.peg.102
0_68: fig|1196083.48.peg.103
0_69: fig|1196083.48.peg.105
0_70: fig|1196083.48.peg.107
0_71: fig|1196083.48.peg.108
0_72: fig|1196083.48.peg.109
0_73: fig|1196083.48.peg.114
0_74: fig|1196083.48.peg.115
0_75: fig|1196083.48.peg.116
0_76: fig|1196083.48.peg.117
0_77: fig|1196083.48.peg.118
0_78: fig|1196083.48.peg.120
0_79: fig|1196083.48.peg.123
0_80: fig|1196083.48.peg.124
0_81: fig|1196083.48.peg.125
0_82: fig|1196083.48.peg.126
0_83: fig|1196083.48.peg.128
0_84: fig|1196083.48.peg.130
0_85: fig|1196083.48.peg.132
0_86: fig|1196083.48.peg.134
0_87: fig|1196083.48.peg.135
0_88: fig|1196083.48.peg.137
0_89: fig|1196083.48.peg.138
0_90: fig|1196083.48.peg.140
0_91: fig|1196083.48.peg.141
0_92: fig|1196083.48.peg.142
0_93: fig|1196083.48.peg.143
0_94: fig|1196083.48.peg.144
0_95: fig|1196083.48.peg.145
0_96: fig|1196083.48.peg.146
0_97: fig|1196083.48.peg.147
0_98: fig|1196083.48.peg.148
0_99: fig|1196083.48.peg.149
0_100: fig|1196083.48.peg.150
0_101: fig|1196083.48.peg.151
0_102: fig|1196083.48.peg.153
0_103: fig|1196083.48.peg.154
0_104: fig|1196083.48.peg.155
0_105: fig|1196083.48.peg.156
0_106: fig|1196083.48.peg.157
0_107: fig|1196083.48.peg.158
0_108: fig|1196083.48.peg.159
0_109: fig|1196083.48.peg.160
0_110: fig|1196083.48.peg.161
0_111: fig|1196083.48.peg.162
0_112: fig|1196083.48.peg.163
0_113: fig|1196083.48.peg.164
0_114: fig|1196083.48.peg.165
0_115: fig|1196083.48.peg.166
0_116: fig|1196083.48.peg.167
0_117: fig|1196083.48.peg.168
0_118: fig|1196083.48.peg.169
0_119: fig|1196083.48.peg.170
0_120: fig|1196083.48.peg.171
0_121: fig|1196083.48.peg.172
0_122: fig|1196083.48.peg.173
0_123: fig|1196083.48.peg.174
0_124: fig|1196083.48.peg.175
0_125: fig|1196083.48.peg.176
0_126: fig|1196083.48.peg.177
0_127: fig|1196083.48.peg.178
0_128: fig|1196083.48.peg.179
0_129: fig|1196083.48.peg.180
0_130: fig|1196083.48.peg.182
0_131: fig|1196083.48.peg.183
0_132: fig|1196083.48.peg.184
0_133: fig|1196083.48.peg.185
0_134: fig|1196083.48.peg.186
0_135: fig|1196083.48.peg.187
0_136: fig|1196083.48.peg.188
0_137: fig|1196083.48.peg.189
0_138: fig|1196083.48.peg.190
0_139: fig|1196083.48.peg.191
0_140: fig|1196083.48.peg.192
0_141: fig|1196083.48.peg.194
0_142: fig|1196083.48.peg.195
0_143: fig|1196083.48.peg.196
0_144: fig|1196083.48.peg.197
0_145: fig|1196083.48.peg.198
0_146: fig|1196083.48.peg.199
0_147: fig|1196083.48.peg.200
0_148: fig|1196083.48.peg.201
0_149: fig|1196083.48.peg.202
0_150: fig|1196083.48.peg.203
0_151: fig|1196083.48.peg.207
0_152: fig|1196083.48.peg.210
0_153: fig|1196083.48.peg.211
0_154: fig|1196083.48.peg.212
0_155: fig|1196083.48.peg.213
0_156: fig|1196083.48.peg.214
0_157: fig|1196083.48.peg.215
0_158: fig|1196083.48.peg.216
0_159: fig|1196083.48.peg.217
0_160: fig|1196083.48.peg.218
0_161: fig|1196083.48.peg.219
0_162: fig|1196083.48.peg.220
0_163: fig|1196083.48.peg.221
0_164: fig|1196083.48.peg.224
0_165: fig|1196083.48.peg.225
0_166: fig|1196083.48.peg.226
