"","x"
"1","OG0000035:"
"2","OG0000078:"
"3","OG0000082:"
"4","OG0000105:"
"5","OG0000118:"
"6","OG0000119:"
"7","OG0000128:"
"8","OG0000129:"
"9","OG0000130:"
"10","OG0000145:"
"11","OG0000156:"
"12","OG0000173:"
"13","OG0000310:"
"14","OG0000323:"
"15","OG0000329:"
"16","OG0000332:"
"17","OG0000341:"
"18","OG0000349:"
"19","OG0000354:"
"20","OG0000359:"
"21","OG0000385:"
"22","OG0000400:"
"23","OG0000432:"
"24","OG0000437:"
"25","OG0000438:"
"26","OG0000485:"
"27","OG0000502:"
"28","OG0000503:"
"29","OG0000520:"
"30","OG0000521:"
"31","OG0000535:"
"32","OG0000548:"
"33","OG0000564:"
"34","OG0000605:"
"35","OG0000613:"
"36","OG0000619:"
"37","OG0000628:"
"38","OG0000709:"
"39","OG0000726:"
"40","OG0000801:"
"41","OG0000813:"
"42","OG0000814:"
"43","OG0000855:"
"44","OG0000856:"
"45","OG0000857:"
"46","OG0000864:"
"47","OG0000928:"
"48","OG0000929:"
"49","OG0000964:"
"50","OG0001046:"
"51","OG0001054:"
"52","OG0001055:"
"53","OG0001062:"
"54","OG0001183:"
"55","OG0001196:"
"56","OG0001202:"
"57","OG0001203:"
"58","OG0001204:"
"59","OG0001206:"
"60","OG0001209:"
"61","OG0001212:"
"62","OG0001274:"
"63","OG0001281:"
"64","OG0001282:"
"65","OG0001315:"
"66","OG0001351:"
"67","OG0001353:"
"68","OG0001361:"
"69","OG0001362:"
"70","OG0001386:"
"71","OG0001441:"
"72","OG0001442:"
"73","OG0001463:"
"74","OG0001475:"
"75","OG0001478:"
"76","OG0001480:"
"77","OG0001530:"
"78","OG0001532:"
"79","OG0001552:"
"80","OG0001560:"
"81","OG0001576:"
"82","OG0001593:"
"83","OG0001619:"
"84","OG0001714:"
"85","OG0001788:"
"86","OG0001790:"
"87","OG0001816:"
"88","OG0001833:"
"89","OG0001863:"
"90","OG0001864:"
"91","OG0001871:"
"92","OG0001881:"
"93","OG0001891:"
"94","OG0001908:"
"95","OG0001912:"
"96","OG0001924:"
"97","OG0001985:"
"98","OG0001989:"
"99","OG0002001:"
"100","OG0002002:"
"101","OG0002012:"
"102","OG0002061:"
"103","OG0002101:"
"104","OG0002119:"
"105","OG0002120:"
"106","OG0002156:"
"107","OG0002158:"
"108","OG0002161:"
"109","OG0002250:"
"110","OG0002253:"
"111","OG0002350:"
"112","OG0002400:"
"113","OG0002402:"
"114","OG0002403:"
"115","OG0002529:"
"116","OG0002743:"
"117","OG0002746:"
"118","OG0002758:"
"119","OG0002763:"
"120","OG0002764:"
"121","OG0002769:"
"122","OG0002775:"
"123","OG0002778:"
"124","OG0002779:"
"125","OG0002783:"
"126","OG0002784:"
"127","OG0002786:"
"128","OG0002788:"
"129","OG0002790:"
"130","OG0002794:"
"131","OG0002797:"
"132","OG0002799:"
"133","OG0002801:"
"134","OG0002810:"
"135","OG0002820:"
"136","OG0002821:"
"137","OG0002825:"
"138","OG0002826:"
"139","OG0002831:"
"140","OG0002841:"
"141","OG0002848:"
"142","OG0002853:"
"143","OG0002857:"
"144","OG0002873:"
"145","OG0002987:"
"146","OG0003059:"
"147","OG0003234:"
"148","OG0003244:"
"149","OG0003245:"
"150","OG0003246:"
"151","OG0003250:"
"152","OG0003253:"
"153","OG0003258:"
"154","OG0003260:"
"155","OG0003272:"
"156","OG0003275:"
"157","OG0003276:"
"158","OG0003278:"
"159","OG0003280:"
"160","OG0003281:"
"161","OG0003282:"
"162","OG0003285:"
"163","OG0003287:"
"164","OG0003288:"
"165","OG0003291:"
"166","OG0003292:"
"167","OG0003293:"
"168","OG0003294:"
"169","OG0003902:"
"170","OG0003903:"
"171","OG0003905:"
"172","OG0003909:"
"173","OG0003910:"
"174","OG0003911:"
"175","OG0003913:"
"176","OG0003914:"
"177","OG0003916:"
"178","OG0003918:"
"179","OG0003922:"
"180","OG0003925:"
"181","OG0003926:"
"182","OG0003927:"
"183","OG0003928:"
"184","OG0003931:"
"185","OG0003933:"
"186","OG0003934:"
"187","OG0003938:"
"188","OG0003939:"
"189","OG0003946:"
"190","OG0003947:"
"191","OG0003948:"
"192","OG0003952:"
"193","OG0003954:"
"194","OG0003956:"
"195","OG0003959:"
"196","OG0003961:"
"197","OG0003962:"
"198","OG0003965:"
"199","OG0003966:"
"200","OG0003967:"
"201","OG0003969:"
"202","OG0003970:"
"203","OG0003971:"
"204","OG0003972:"
"205","OG0003976:"
"206","OG0003977:"
"207","OG0003978:"
"208","OG0003979:"
"209","OG0003980:"
"210","OG0003982:"
"211","OG0003983:"
"212","OG0003984:"
"213","OG0003985:"
"214","OG0003987:"
"215","OG0003988:"
"216","OG0003991:"
"217","OG0006456:"
"218","OG0006457:"
"219","OG0006458:"
"220","OG0006459:"
"221","OG0006460:"
"222","OG0006461:"
"223","OG0006462:"
"224","OG0006463:"
"225","OG0000010:"
