"","x"
"1","OG0000000:"
"2","OG0000001:"
"3","OG0000003:"
"4","OG0000004:"
"5","OG0000005:"
"6","OG0000012:"
"7","OG0000021:"
"8","OG0000022:"
"9","OG0000023:"
"10","OG0000024:"
"11","OG0000025:"
"12","OG0000026:"
"13","OG0000028:"
"14","OG0000034:"
"15","OG0000036:"
"16","OG0000038:"
"17","OG0000039:"
"18","OG0000040:"
"19","OG0000043:"
"20","OG0000045:"
"21","OG0000046:"
"22","OG0000048:"
"23","OG0000050:"
"24","OG0000054:"
"25","OG0000055:"
"26","OG0000057:"
"27","OG0000058:"
"28","OG0000059:"
"29","OG0000061:"
"30","OG0000062:"
"31","OG0000063:"
"32","OG0000066:"
"33","OG0000067:"
"34","OG0000068:"
"35","OG0000069:"
"36","OG0000070:"
"37","OG0000077:"
"38","OG0000081:"
"39","OG0000083:"
"40","OG0000084:"
"41","OG0000090:"
"42","OG0000091:"
"43","OG0000092:"
"44","OG0000094:"
"45","OG0000096:"
"46","OG0000098:"
"47","OG0000100:"
"48","OG0000101:"
"49","OG0000102:"
"50","OG0000110:"
"51","OG0000111:"
"52","OG0000113:"
"53","OG0000114:"
"54","OG0000116:"
"55","OG0000117:"
"56","OG0000121:"
"57","OG0000122:"
"58","OG0000124:"
"59","OG0000125:"
"60","OG0000128:"
"61","OG0000132:"
"62","OG0000134:"
"63","OG0000136:"
"64","OG0000137:"
"65","OG0000138:"
"66","OG0000139:"
"67","OG0000140:"
"68","OG0000141:"
"69","OG0000142:"
"70","OG0000143:"
"71","OG0000144:"
"72","OG0000145:"
"73","OG0000146:"
"74","OG0000147:"
"75","OG0000149:"
"76","OG0000150:"
"77","OG0000151:"
"78","OG0000154:"
"79","OG0000155:"
"80","OG0000158:"
"81","OG0000159:"
"82","OG0000164:"
"83","OG0000165:"
"84","OG0000167:"
"85","OG0000168:"
"86","OG0000169:"
"87","OG0000176:"
"88","OG0000180:"
"89","OG0000181:"
"90","OG0000182:"
"91","OG0000183:"
"92","OG0000185:"
"93","OG0000186:"
"94","OG0000188:"
"95","OG0000189:"
"96","OG0000190:"
"97","OG0000192:"
"98","OG0000193:"
"99","OG0000194:"
"100","OG0000195:"
"101","OG0000197:"
"102","OG0000198:"
"103","OG0000199:"
"104","OG0000200:"
"105","OG0000204:"
"106","OG0000205:"
"107","OG0000206:"
"108","OG0000208:"
"109","OG0000209:"
"110","OG0000214:"
"111","OG0000215:"
"112","OG0000216:"
"113","OG0000217:"
"114","OG0000220:"
"115","OG0000221:"
"116","OG0000223:"
"117","OG0000224:"
"118","OG0000226:"
"119","OG0000227:"
"120","OG0000231:"
"121","OG0000232:"
"122","OG0000233:"
"123","OG0000235:"
"124","OG0000236:"
"125","OG0000237:"
"126","OG0000238:"
"127","OG0000239:"
"128","OG0000240:"
"129","OG0000241:"
"130","OG0000243:"
"131","OG0000244:"
"132","OG0000246:"
"133","OG0000247:"
"134","OG0000248:"
"135","OG0000249:"
"136","OG0000252:"
"137","OG0000256:"
"138","OG0000257:"
"139","OG0000259:"
"140","OG0000263:"
"141","OG0000265:"
"142","OG0000266:"
"143","OG0000267:"
"144","OG0000268:"
"145","OG0000269:"
"146","OG0000271:"
"147","OG0000273:"
"148","OG0000274:"
"149","OG0000276:"
"150","OG0000277:"
"151","OG0000279:"
"152","OG0000280:"
"153","OG0000281:"
"154","OG0000282:"
"155","OG0000283:"
"156","OG0000284:"
"157","OG0000285:"
"158","OG0000286:"
"159","OG0000287:"
"160","OG0000290:"
"161","OG0000296:"
"162","OG0000298:"
"163","OG0000299:"
"164","OG0000300:"
"165","OG0000304:"
"166","OG0000305:"
"167","OG0000306:"
"168","OG0000308:"
"169","OG0000309:"
"170","OG0000310:"
"171","OG0000311:"
"172","OG0000312:"
"173","OG0000313:"
"174","OG0000314:"
"175","OG0000319:"
"176","OG0000320:"
"177","OG0000322:"
"178","OG0000323:"
"179","OG0000324:"
"180","OG0000327:"
"181","OG0000330:"
"182","OG0000331:"
"183","OG0000332:"
"184","OG0000334:"
"185","OG0000335:"
"186","OG0000337:"
"187","OG0000341:"
"188","OG0000342:"
"189","OG0000343:"
"190","OG0000344:"
"191","OG0000345:"
"192","OG0000348:"
"193","OG0000349:"
"194","OG0000350:"
"195","OG0000351:"
"196","OG0000352:"
"197","OG0000353:"
"198","OG0000354:"
"199","OG0000356:"
"200","OG0000357:"
"201","OG0000358:"
"202","OG0000359:"
"203","OG0000360:"
"204","OG0000361:"
"205","OG0000363:"
"206","OG0000364:"
"207","OG0000366:"
"208","OG0000368:"
"209","OG0000369:"
"210","OG0000370:"
"211","OG0000372:"
"212","OG0000373:"
"213","OG0000374:"
"214","OG0000376:"
"215","OG0000377:"
"216","OG0000379:"
"217","OG0000382:"
"218","OG0000383:"
"219","OG0000384:"
"220","OG0000385:"
"221","OG0000386:"
"222","OG0000389:"
"223","OG0000390:"
"224","OG0000392:"
"225","OG0000394:"
"226","OG0000395:"
"227","OG0000397:"
"228","OG0000398:"
"229","OG0000399:"
"230","OG0000400:"
"231","OG0000401:"
"232","OG0000404:"
"233","OG0000406:"
"234","OG0000407:"
"235","OG0000408:"
"236","OG0000409:"
"237","OG0000411:"
"238","OG0000412:"
"239","OG0000413:"
"240","OG0000414:"
"241","OG0000415:"
"242","OG0000416:"
"243","OG0000418:"
"244","OG0000419:"
"245","OG0000420:"
"246","OG0000423:"
"247","OG0000425:"
"248","OG0000428:"
"249","OG0000429:"
"250","OG0000430:"
"251","OG0000433:"
"252","OG0000435:"
"253","OG0000437:"
"254","OG0000438:"
"255","OG0000439:"
