"","rn","V1"
"1","OG0000000:",5
"2","OG0000001:",5
"3","OG0000002:",4
"4","OG0000003:",4
"5","OG0000004:",6
"6","OG0000005:",6
"7","OG0000006:",5
"8","OG0000007:",4
"9","OG0000008:",4
"10","OG0000009:",4
"11","OG0000010:",4
"12","OG0000011:",5
"13","OG0000012:",5
"14","OG0000013:",5
"15","OG0000014:",6
"16","OG0000015:",6
"17","OG0000016:",5
"18","OG0000017:",5
"19","OG0000018:",5
"20","OG0000019:",5
"21","OG0000020:",5
"22","OG0000021:",5
"23","OG0000022:",5
"24","OG0000023:",4
"25","OG0000024:",6
"26","OG0000025:",5
"27","OG0000026:",6
"28","OG0000027:",4
"29","OG0000028:",4
"30","OG0000029:",4
"31","OG0000030:",4
"32","OG0000031:",5
"33","OG0000032:",6
"34","OG0000033:",5
"35","OG0000034:",4
"36","OG0000035:",4
"37","OG0000036:",5
"38","OG0000037:",4
"39","OG0000038:",5
"40","OG0000039:",6
"41","OG0000040:",3
"42","OG0000041:",5
"43","OG0000042:",5
"44","OG0000043:",5
"45","OG0000044:",3
"46","OG0000045:",4
"47","OG0000046:",5
"48","OG0000047:",5
"49","OG0000048:",5
"50","OG0000049:",3
"51","OG0000050:",5
"52","OG0000051:",2
"53","OG0000052:",4
"54","OG0000053:",5
"55","OG0000054:",4
"56","OG0000055:",4
"57","OG0000056:",5
"58","OG0000057:",6
"59","OG0000058:",5
"60","OG0000059:",4
"61","OG0000060:",4
"62","OG0000061:",5
"63","OG0000062:",4
"64","OG0000063:",6
"65","OG0000064:",2
"66","OG0000065:",4
"67","OG0000066:",5
"68","OG0000067:",5
"69","OG0000068:",5
"70","OG0000069:",5
"71","OG0000070:",5
"72","OG0000071:",5
"73","OG0000072:",3
"74","OG0000073:",4
"75","OG0000074:",5
"76","OG0000075:",5
"77","OG0000076:",2
"78","OG0000077:",5
"79","OG0000078:",3
"80","OG0000079:",5
"81","OG0000080:",4
"82","OG0000081:",4
"83","OG0000082:",4
"84","OG0000083:",4
"85","OG0000084:",5
"86","OG0000085:",4
"87","OG0000086:",4
"88","OG0000087:",3
"89","OG0000088:",6
"90","OG0000089:",4
"91","OG0000090:",6
"92","OG0000091:",4
"93","OG0000092:",5
"94","OG0000093:",6
"95","OG0000094:",5
"96","OG0000095:",5
"97","OG0000096:",5
"98","OG0000097:",4
"99","OG0000098:",6
"100","OG0000099:",5
"101","OG0000100:",5
"102","OG0000101:",9
"103","OG0000102:",9
"104","OG0000103:",8
