"","x"
"1","OG0000002:"
"2","OG0000031:"
"3","OG0000035:"
"4","OG0000037:"
"5","OG0000041:"
"6","OG0000044:"
"7","OG0000047:"
"8","OG0000056:"
"9","OG0000073:"
"10","OG0000082:"
"11","OG0000109:"
"12","OG0000127:"
"13","OG0000161:"
"14","OG0000174:"
"15","OG0000187:"
"16","OG0000207:"
"17","OG0000213:"
"18","OG0000222:"
"19","OG0000245:"
"20","OG0000253:"
"21","OG0000264:"
"22","OG0000387:"
"23","OG0000391:"
"24","OG0000396:"
"25","OG0000431:"
"26","OG0000436:"
"27","OG0000455:"
"28","OG0000468:"
"29","OG0000530:"
"30","OG0000586:"
"31","OG0000588:"
"32","OG0000598:"
"33","OG0000629:"
"34","OG0000647:"
"35","OG0000696:"
"36","OG0000723:"
"37","OG0000745:"
"38","OG0000746:"
"39","OG0000762:"
"40","OG0000785:"
"41","OG0000787:"
"42","OG0000811:"
"43","OG0000862:"
"44","OG0000865:"
"45","OG0000892:"
"46","OG0000901:"
"47","OG0000915:"
"48","OG0000924:"
"49","OG0000942:"
"50","OG0000957:"
"51","OG0001021:"
"52","OG0001024:"
"53","OG0001067:"
"54","OG0001069:"
"55","OG0001086:"
"56","OG0001136:"
"57","OG0001144:"
"58","OG0001189:"
"59","OG0001191:"
"60","OG0001243:"
"61","OG0001246:"
"62","OG0001288:"
"63","OG0001321:"
"64","OG0001325:"
"65","OG0001330:"
"66","OG0001343:"
"67","OG0001347:"
"68","OG0001351:"
"69","OG0001363:"
"70","OG0001449:"
"71","OG0001465:"
"72","OG0001478:"
"73","OG0001489:"
"74","OG0001492:"
"75","OG0001493:"
"76","OG0001497:"
"77","OG0001505:"
"78","OG0001537:"
"79","OG0001549:"
"80","OG0001556:"
"81","OG0001617:"
"82","OG0001618:"
"83","OG0001626:"
"84","OG0001634:"
"85","OG0001663:"
"86","OG0001725:"
"87","OG0001786:"
"88","OG0001814:"
"89","OG0001836:"
"90","OG0001867:"
"91","OG0001871:"
"92","OG0001901:"
"93","OG0001954:"
"94","OG0001989:"
"95","OG0002022:"
"96","OG0002034:"
"97","OG0002101:"
"98","OG0002149:"
"99","OG0002161:"
"100","OG0002165:"
"101","OG0002169:"
"102","OG0002181:"
"103","OG0002279:"
"104","OG0002636:"
"105","OG0002855:"
"106","OG0003299:"
"107","OG0003337:"
"108","OG0003345:"
"109","OG0003363:"
"110","OG0003366:"
"111","OG0003397:"
"112","OG0003413:"
"113","OG0003445:"
"114","OG0003446:"
"115","OG0003715:"
"116","OG0003716:"
"117","OG0003727:"
"118","OG0003844:"
"119","OG0003854:"
"120","OG0003855:"
"121","OG0003860:"
"122","OG0003866:"
"123","OG0003867:"
"124","OG0003869:"
"125","OG0003909:"
"126","OG0003970:"
"127","OG0004011:"
"128","OG0004188:"
"129","OG0004189:"
"130","OG0004198:"
"131","OG0004219:"
"132","OG0004275:"
"133","OG0004295:"
"134","OG0004425:"
"135","OG0004431:"
"136","OG0004466:"
"137","OG0004526:"
"138","OG0004531:"
"139","OG0004534:"
"140","OG0004535:"
"141","OG0004536:"
"142","OG0004540:"
"143","OG0004541:"
"144","OG0004543:"
"145","OG0004547:"
"146","OG0004548:"
"147","OG0004550:"
"148","OG0004553:"
"149","OG0004554:"
"150","OG0004561:"
"151","OG0004562:"
"152","OG0004564:"
"153","OG0004761:"
"154","OG0004762:"
"155","OG0004763:"
"156","OG0004765:"
"157","OG0004766:"
"158","OG0004767:"
"159","OG0004769:"
"160","OG0004770:"
"161","OG0011706:"
"162","OG0011707:"
"163","OG0011708:"
"164","OG0011709:"
"165","OG0011710:"
"166","OG0011711:"
"167","OG0011712:"
"168","OG0011713:"
"169","OG0011714:"
"170","OG0011715:"
"171","OG0011716:"
"172","OG0011717:"
"173","OG0011718:"
"174","OG0011719:"
"175","OG0011720:"
"176","OG0011721:"
"177","OG0011722:"
"178","OG0011723:"
"179","OG0011724:"
"180","OG0011725:"
"181","OG0011726:"
"182","OG0011727:"
"183","OG0011728:"
"184","OG0011729:"
"185","OG0011730:"
"186","OG0011731:"
"187","OG0011732:"
"188","OG0011733:"
"189","OG0011734:"
"190","OG0011735:"
"191","OG0011736:"
"192","OG0011737:"
"193","OG0011738:"
"194","OG0011739:"
"195","OG0011740:"
"196","OG0011741:"
"197","OG0011742:"
"198","OG0011743:"
"199","OG0011744:"
"200","OG0011745:"
"201","OG0011746:"
"202","OG0011747:"
"203","OG0011748:"
"204","OG0011749:"
"205","OG0011750:"
"206","OG0011751:"
"207","OG0011752:"
"208","OG0011753:"
"209","OG0011754:"
"210","OG0011755:"
"211","OG0011756:"
"212","OG0011757:"
"213","OG0011758:"
"214","OG0011759:"
"215","OG0011760:"
"216","OG0011761:"
"217","OG0011762:"
"218","OG0011763:"
"219","OG0011764:"
"220","OG0011765:"
"221","OG0011766:"
"222","OG0011767:"
"223","OG0011768:"
"224","OG0011769:"
"225","OG0011770:"
"226","OG0011771:"
"227","OG0011772:"
"228","OG0011773:"
"229","OG0011774:"
"230","OG0011775:"
"231","OG0011776:"
"232","OG0011777:"
"233","OG0011778:"
"234","OG0011779:"
"235","OG0011780:"
"236","OG0011781:"
"237","OG0011782:"
"238","OG0011783:"
"239","OG0011784:"
"240","OG0011785:"
"241","OG0011786:"
"242","OG0011787:"
"243","OG0011788:"
"244","OG0011789:"
"245","OG0011790:"
"246","OG0011791:"
"247","OG0011792:"
"248","OG0011793:"
"249","OG0011794:"
"250","OG0011795:"
"251","OG0011796:"
"252","OG0011797:"
"253","OG0011798:"
"254","OG0011799:"
"255","OG0011800:"
"256","OG0011801:"
"257","OG0011802:"
"258","OG0011803:"
"259","OG0011804:"
"260","OG0011805:"
"261","OG0011806:"
"262","OG0011807:"
"263","OG0011808:"
"264","OG0011809:"
"265","OG0011810:"
"266","OG0011811:"
"267","OG0011812:"
"268","OG0011813:"
"269","OG0011814:"
"270","OG0011815:"
"271","OG0011816:"
"272","OG0011817:"
"273","OG0011818:"
"274","OG0011819:"
"275","OG0011820:"
"276","OG0011821:"
"277","OG0011822:"
"278","OG0011823:"
"279","OG0011824:"
"280","OG0011825:"
"281","OG0011826:"
"282","OG0011827:"
"283","OG0011828:"
"284","OG0011829:"
"285","OG0011830:"
"286","OG0011831:"
"287","OG0011832:"
"288","OG0011833:"
"289","OG0011834:"
"290","OG0011835:"
"291","OG0011836:"
"292","OG0011837:"
"293","OG0011838:"
"294","OG0011839:"
"295","OG0011840:"
"296","OG0011841:"
"297","OG0011842:"
"298","OG0011843:"
"299","OG0011844:"
"300","OG0011845:"
"301","OG0011846:"
"302","OG0011847:"
"303","OG0011848:"
"304","OG0011849:"
"305","OG0011850:"
"306","OG0011851:"
"307","OG0011852:"
"308","OG0011853:"
"309","OG0011854:"
"310","OG0011855:"
"311","OG0011856:"
"312","OG0011857:"
"313","OG0011858:"
"314","OG0011859:"
"315","OG0011860:"
"316","OG0011861:"
"317","OG0011862:"
"318","OG0011863:"
"319","OG0011864:"
"320","OG0011865:"
"321","OG0011866:"
"322","OG0011867:"
"323","OG0011868:"
"324","OG0011869:"
"325","OG0011870:"
"326","OG0011871:"
"327","OG0011872:"
"328","OG0011873:"
"329","OG0011874:"
"330","OG0011875:"
"331","OG0011876:"
"332","OG0011877:"
"333","OG0011878:"
"334","OG0011879:"
"335","OG0011880:"
"336","OG0011881:"
"337","OG0011882:"
"338","OG0011883:"
"339","OG0011884:"
"340","OG0011885:"
"341","OG0011886:"
"342","OG0011887:"
"343","OG0011888:"
"344","OG0011889:"
"345","OG0011890:"
"346","OG0011891:"
"347","OG0011892:"
"348","OG0011893:"
"349","OG0011894:"
"350","OG0011895:"
"351","OG0011896:"
"352","OG0011897:"
"353","OG0011898:"
"354","OG0011899:"
"355","OG0011900:"
"356","OG0011901:"
"357","OG0011902:"
"358","OG0011903:"
"359","OG0011904:"
"360","OG0011905:"
"361","OG0011906:"
"362","OG0011907:"
"363","OG0011908:"
"364","OG0011909:"
"365","OG0011910:"
"366","OG0011911:"
"367","OG0011912:"
"368","OG0011913:"
"369","OG0011914:"
"370","OG0011915:"
"371","OG0011916:"
"372","OG0011917:"
"373","OG0011918:"
"374","OG0011919:"
"375","OG0011920:"
"376","OG0011921:"
"377","OG0011922:"
"378","OG0011923:"
"379","OG0011924:"
"380","OG0011925:"
"381","OG0011926:"
"382","OG0011927:"
"383","OG0011928:"
"384","OG0011929:"
"385","OG0011930:"
"386","OG0011931:"
"387","OG0011932:"
"388","OG0011933:"
"389","OG0011934:"
"390","OG0011935:"
"391","OG0011936:"
"392","OG0011937:"
"393","OG0011938:"
"394","OG0011939:"
"395","OG0011940:"
"396","OG0011941:"
"397","OG0011942:"
"398","OG0011943:"
"399","OG0011944:"
"400","OG0011945:"
"401","OG0011946:"
"402","OG0011947:"
"403","OG0011948:"
"404","OG0011949:"
"405","OG0011950:"
"406","OG0011951:"
"407","OG0011952:"
"408","OG0011953:"
"409","OG0011954:"
"410","OG0011955:"
"411","OG0011956:"
"412","OG0011957:"
"413","OG0011958:"
"414","OG0011959:"
"415","OG0011960:"
"416","OG0011961:"
"417","OG0011962:"
"418","OG0011963:"
"419","OG0011964:"
"420","OG0011965:"
"421","OG0011966:"
"422","OG0011967:"
"423","OG0011968:"
"424","OG0011969:"
"425","OG0011970:"
"426","OG0011971:"
"427","OG0011972:"
"428","OG0011973:"
"429","OG0011974:"
"430","OG0011975:"
"431","OG0011976:"
"432","OG0011977:"
"433","OG0011978:"
"434","OG0011979:"
"435","OG0011980:"
"436","OG0011981:"
"437","OG0011982:"
"438","OG0011983:"
"439","OG0011984:"
"440","OG0011985:"
"441","OG0011986:"
"442","OG0011987:"
"443","OG0011988:"
"444","OG0011989:"
"445","OG0011990:"
"446","OG0011991:"
"447","OG0011992:"
"448","OG0011993:"
"449","OG0011994:"
"450","OG0011995:"
"451","OG0011996:"
"452","OG0011997:"
"453","OG0011998:"
"454","OG0011999:"
"455","OG0012000:"
"456","OG0012001:"
"457","OG0012002:"
"458","OG0012003:"
"459","OG0012004:"
"460","OG0012005:"
"461","OG0012006:"
"462","OG0012007:"
"463","OG0012008:"
