. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	12   	-2023.60539	Yes        	4        	4.000    	0.000    	 0.24056   0.20282   0.29334   0.26327	-1.08080   0.35014   0.37517   0.35549  
      	     	          	           	          	           	             	                                      	 0.41529  -1.31685   0.36336   0.53820  
      	     	          	           	          	           	             	                                      	 0.30767   0.25124  -0.75370   0.19480  
      	     	          	           	          	           	             	                                      	 0.32483   0.41462   0.21705  -0.95650  

  #2	12   	-1962.80368	Yes        	4        	4.000    	0.000    	 0.25368   0.19693   0.29080   0.25859	-1.06029   0.39728   0.42761   0.23539  
      	     	          	           	          	           	             	                                      	 0.51177  -1.43269   0.16698   0.75394  
      	     	          	           	          	           	             	                                      	 0.37303   0.11308  -0.65691   0.17079  
      	     	          	           	          	           	             	                                      	 0.23092   0.57418   0.19207  -0.99716  

  #3	12   	-1900.42756	Yes        	4        	4.000    	0.000    	 0.24962   0.20135   0.29849   0.25054	-1.08090   0.39313   0.46932   0.21845  
      	     	          	           	          	           	             	                                      	 0.48736  -1.53781   0.37331   0.67714  
      	     	          	           	          	           	             	                                      	 0.39247   0.25182  -0.70687   0.06258  
      	     	          	           	          	           	             	                                      	 0.21765   0.54421   0.07456  -0.83641  

  #4	12   	-1838.65288	Yes        	4        	4.000    	0.000    	 0.26343   0.20510   0.28093   0.25054	-0.97189   0.32650   0.32092   0.32447  
      	     	          	           	          	           	             	                                      	 0.41937  -1.50896   0.37261   0.71699  
      	     	          	           	          	           	             	                                      	 0.30093   0.27202  -0.64592   0.07297  
      	     	          	           	          	           	             	                                      	 0.34117   0.58694   0.08183  -1.00994  

  #5	12   	-1955.90145	Yes        	4        	4.000    	0.000    	 0.26128   0.22536   0.26466   0.24870	-1.04869   0.31910   0.50765   0.22194  
      	     	          	           	          	           	             	                                      	 0.36996  -1.23403   0.24502   0.61905  
      	     	          	           	          	           	             	                                      	 0.50117   0.20863  -0.82795   0.11814  
      	     	          	           	          	           	             	                                      	 0.23318   0.56097   0.12573  -0.91987  

  #6	12   	-2027.72290	Yes        	4        	4.000    	0.000    	 0.23374   0.19663   0.28957   0.28006	-1.00695   0.39890   0.40871   0.19933  
      	     	          	           	          	           	             	                                      	 0.47420  -1.62848   0.30893   0.84536  
      	     	          	           	          	           	             	                                      	 0.32992   0.20977  -0.66978   0.13010  
      	     	          	           	          	           	             	                                      	 0.16637   0.59351   0.13451  -0.89439  

  #7	12   	-1978.17133	Yes        	4        	4.000    	0.000    	 0.23757   0.19122   0.28300   0.28821	-0.93149   0.25723   0.42191   0.25235  
      	     	          	           	          	           	             	                                      	 0.31958  -1.54552   0.45620   0.76974  
      	     	          	           	          	           	             	                                      	 0.35418   0.30826  -0.81891   0.15647  
      	     	          	           	          	           	             	                                      	 0.20800   0.51070   0.15364  -0.87235  

  #8	12   	-1965.89851	Yes        	4        	4.000    	0.000    	 0.25676   0.19165   0.28041   0.27119	-0.99206   0.40709   0.35254   0.23243  
      	     	          	           	          	           	             	                                      	 0.54540  -1.74901   0.32888   0.87473  
      	     	          	           	          	           	             	                                      	 0.32281   0.22478  -0.59970   0.05212  
      	     	          	           	          	           	             	                                      	 0.22006   0.61815   0.05389  -0.89210  

  #9	12   	-1894.90794	Yes        	4        	4.000    	0.000    	 0.23988   0.20951   0.29294   0.25767	-1.01784   0.27919   0.54146   0.19719  
      	     	          	           	          	           	             	                                      	 0.31966  -1.29630   0.28659   0.69005  
      	     	          	           	          	           	             	                                      	 0.44337   0.20496  -0.82321   0.17487  
      	     	          	           	          	           	             	                                      	 0.18357   0.56108   0.19882  -0.94347  

  #10	12   	-1911.81410	Yes        	4        	4.000    	0.000    	 0.22881   0.21345   0.27334   0.28440	-1.06752   0.35834   0.47839   0.23079  
      	     	          	           	          	           	             	                                      	 0.38412  -1.37597   0.43060   0.56125  
      	     	          	           	          	           	             	                                      	 0.40045   0.33626  -0.89778   0.16108  
      	     	          	           	          	           	             	                                      	 0.18568   0.42124   0.15482  -0.76174  

  #11	12   	-1975.07660	Yes        	4        	4.000    	0.000    	 0.25845   0.21573   0.29072   0.23510	-0.95736   0.32267   0.42872   0.20597  
      	     	          	           	          	           	             	                                      	 0.38656  -1.37064   0.31771   0.66638  
      	     	          	           	          	           	             	                                      	 0.38113   0.23576  -0.75541   0.13851  
      	     	          	           	          	           	             	                                      	 0.22643   0.61150   0.17129  -1.00922  

  #12	12   	-1822.34116	Yes        	4        	4.000    	0.000    	 0.25238   0.20812   0.26806   0.27144	-0.99251   0.32858   0.43818   0.22575  
      	     	          	           	          	           	             	                                      	 0.39847  -1.35769   0.25889   0.70034  
      	     	          	           	          	           	             	                                      	 0.41255   0.20099  -0.79962   0.18608  
      	     	          	           	          	           	             	                                      	 0.20990   0.53695   0.18376  -0.93060  

  #13	12   	-1813.70226	Yes        	4        	4.000    	0.000    	 0.25107   0.20018   0.25107   0.29767	-0.97011   0.36569   0.37971   0.22471  
      	     	          	           	          	           	             	                                      	 0.45865  -1.52594   0.31060   0.75669  
      	     	          	           	          	           	             	                                      	 0.37971   0.24764  -0.79773   0.17038  
      	     	          	           	          	           	             	                                      	 0.18953   0.50888   0.14371  -0.84212  

