"","gene_1","gene_2","gene_3","gene_4","gene_5","gene_6","gene_7","gene_8","gene_9","gene_10","gene_11","gene_12","gene_13","gene_14","gene_15","gene_16","gene_17","gene_18","gene_19","gene_20","gene_21","gene_22","gene_23","gene_24","gene_25","gene_26","gene_27","gene_28","gene_29","gene_30","gene_31","gene_32","gene_33","gene_34","gene_35","gene_36","gene_37","gene_38","gene_39","gene_40","gene_41","gene_42","gene_43","gene_44","gene_45","gene_46","gene_47","gene_48","gene_49","gene_50","gene_51","gene_52","gene_53","gene_54","gene_55","gene_56","gene_57","gene_58","gene_59","gene_60","gene_61","gene_62","gene_63","gene_64","gene_65","gene_66","gene_67","gene_68","gene_69","gene_70","gene_71","gene_72","gene_73","gene_74","gene_75","gene_76","gene_77","gene_78","gene_79","gene_80","gene_81","gene_82","gene_83","gene_84","gene_85","gene_90","gene_91","gene_98","gene_110","gene_111","gene_130","gene_135","gene_169","gene_200","gene_201"
"OG0000002:","fig|1196095.106.peg.747","","fig|1196095.95.peg.1844","","","","","","","","","","","","","","","","fig|1196095.94.peg.1320","","","","","","","fig|1196095.99.peg.1697","","","","","","","","","","","","","fig|1196095.96.peg.1326","","","","","","","","fig|1196095.98.peg.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fig|1196095.97.peg.569","","","","","","","","","","","","",""
"OG0000010:","fig|1196095.106.peg.746","","","","","","","","","","","","","","","","","","","","","","","fig|1196095.96.peg.1572","","","","","","","fig|1196095.97.peg.1420","","","","","","","fig|1196095.98.peg.78","","","","","","","","","","","","","","","","","fig|1196095.95.peg.1626","","","fig|1196095.99.peg.1249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fig|1196095.94.peg.1439","","","","","",""
"OG0000028:","fig|1196095.106.peg.1603","","","","","","","","fig|1196095.95.peg.447","","","","","","","","fig|1196095.98.peg.277","","","","","","","","fig|1196095.99.peg.311","","","","","","","","","","","","","","","","","","","","","","","","","","fig|1196095.94.peg.1234","","","","","","","","","","","","fig|1196095.97.peg.1577","","","","","","","","","","","","","","fig|1196095.96.peg.1027","","","","","","","","","","","","","","","","","",""
"OG0000043:","fig|1196095.106.peg.224","fig|1196095.109.peg.550","fig|1196095.133.peg.2389","fig|1196095.121.peg.1876","fig|1196095.105.peg.187","fig|1196095.102.peg.1773","fig|1196095.120.peg.2336","fig|1196095.120.peg.546","fig|1196095.103.peg.22","fig|1196095.115.peg.55","fig|1196095.107.peg.960","fig|1196095.113.peg.2010","fig|1196095.101.peg.1865","fig|1196095.132.peg.2058","fig|1196095.113.peg.754","fig|1196095.128.peg.251","fig|1196095.122.peg.728","fig|1196095.95.peg.1336","fig|1196095.105.peg.1438","fig|1196095.114.peg.1033","fig|1196095.97.peg.2038","fig|1196095.135.peg.2359","fig|1196095.116.peg.690","fig|1196095.116.peg.1497","fig|1196095.115.peg.881","fig|1196095.107.peg.1865","fig|1196095.134.peg.2378","fig|1196095.108.peg.1022","fig|1196095.124.peg.2651","fig|1196095.98.peg.1936","fig|1196095.99.peg.1315","fig|1196095.98.peg.540","fig|1196095.130.peg.1595","fig|1196095.111.peg.246","fig|1196095.114.peg.714","fig|1196095.110.peg.1983","fig|1196095.112.peg.1366","fig|1196095.118.peg.462","fig|1196095.97.peg.891","fig|1196095.100.peg.1243","fig|1196095.109.peg.1837","fig|1196095.123.peg.899","fig|1196095.102.peg.2204","fig|1196095.118.peg.133","fig|1196095.127.peg.1241","fig|1196095.94.peg.74","fig|1196095.112.peg.535","fig|1196095.110.peg.2445","fig|1196095.119.peg.1201","fig|1196095.121.peg.372","fig|1196095.119.peg.1884","fig|1196095.117.peg.1292","fig|1196095.125.peg.2214","fig|1196095.104.peg.1514","fig|1196095.117.peg.1546","fig|1196095.128.peg.1846","fig|1196095.104.peg.1205","fig|1196095.124.peg.1906","fig|1196095.111.peg.1921","fig|1196095.126.peg.989","fig|1196095.96.peg.152","fig|1196095.122.peg.758","fig|1196095.123.peg.347","fig|1196095.106.peg.1250","fig|1196095.94.peg.711","fig|1196095.130.peg.1802","fig|1196095.99.peg.431","fig|1196095.95.peg.490","fig|1196095.135.peg.1559","fig|1196095.125.peg.2064","fig|1196095.108.peg.1645","fig|1196095.96.peg.1581","fig|1196095.134.peg.244","","","","","","","","","","","","","","","","","","","","","",""
"OG0000158:","fig|1196095.106.peg.390","fig|1196095.123.peg.297","fig|1196095.122.peg.1100","fig|1196095.105.peg.2156","fig|1196095.110.peg.1006","fig|1196095.108.peg.850","fig|1196095.126.peg.723","fig|1196095.100.peg.1171","fig|1196095.103.peg.1576","fig|1196095.128.peg.1788","fig|1196095.133.peg.2736","fig|1196095.130.peg.484","fig|1196095.121.peg.1076","fig|1196095.97.peg.1063","fig|1196095.131.peg.291","fig|1196095.111.peg.1990","fig|1196095.125.peg.1648","fig|1196095.115.peg.1367","fig|1196095.134.peg.571","fig|1196095.113.peg.1366","fig|1196095.124.peg.870","fig|1196095.117.peg.781","fig|1196095.95.peg.1198","fig|1196095.116.peg.143","fig|1196095.119.peg.502","fig|1196095.99.peg.316","fig|1196095.102.peg.915","fig|1196095.112.peg.1593","fig|1196095.127.peg.326","fig|1196095.101.peg.203","fig|1196095.132.peg.1136","fig|1196095.104.peg.375","fig|1196095.96.peg.2463","fig|1196095.135.peg.1758","fig|1196095.107.peg.1641","fig|1196095.118.peg.2134","fig|1196095.98.peg.2141","fig|1196095.129.peg.1111","fig|1196095.125.peg.613","fig|1196095.109.peg.844","fig|1196095.120.peg.206","fig|1196095.125.peg.341","fig|1196095.114.peg.1536","fig|1196095.94.peg.2131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000177:","fig|1196095.106.peg.482","fig|1196095.98.peg.179","fig|1196095.105.peg.1087","fig|1196095.126.peg.632","fig|1196095.97.peg.839","fig|1196095.117.peg.488","fig|1196095.114.peg.1257","fig|1196095.103.peg.957","fig|1196095.131.peg.596","fig|1196095.111.peg.7","fig|1196095.133.peg.706","fig|1196095.125.peg.1021","fig|1196095.120.peg.811","fig|1196095.112.peg.1551","fig|1196095.115.peg.1793","fig|1196095.101.peg.49","fig|1196095.132.peg.1841","fig|1196095.123.peg.715","fig|1196095.121.peg.2328","fig|1196095.129.peg.246","fig|1196095.102.peg.1508","fig|1196095.130.peg.65","fig|1196095.122.peg.1385","fig|1196095.110.peg.47","fig|1196095.99.peg.1701","fig|1196095.108.peg.1156","fig|1196095.124.peg.219","fig|1196095.135.peg.928","fig|1196095.113.peg.1192","fig|1196095.128.peg.1738","fig|1196095.119.peg.609","fig|1196095.96.peg.230","fig|1196095.104.peg.1086","fig|1196095.118.peg.255","fig|1196095.116.peg.2700","fig|1196095.100.peg.23","fig|1196095.95.peg.217","fig|1196095.109.peg.529","fig|1196095.94.peg.771","fig|1196095.133.peg.2825","fig|1196095.107.peg.2276","fig|1196095.134.peg.538","fig|1196095.127.peg.2274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000180:","fig|1196095.106.peg.1973","fig|1196095.135.peg.942","fig|1196095.117.peg.1792","fig|1196095.112.peg.196","fig|1196095.125.peg.1000","fig|1196095.124.peg.246","fig|1196095.131.peg.619","fig|1196095.113.peg.1647","fig|1196095.114.peg.1228","fig|1196095.133.peg.148","fig|1196095.116.peg.2675","fig|1196095.98.peg.1598","fig|1196095.130.peg.40","fig|1196095.123.peg.685","fig|1196095.109.peg.268","fig|1196095.110.peg.70","fig|1196095.111.peg.30","fig|1196095.119.peg.138","fig|1196095.94.peg.791","fig|1196095.133.peg.2731","fig|1196095.115.peg.1826","fig|1196095.108.peg.1744","fig|1196095.102.peg.2123","fig|1196095.104.peg.1063","fig|1196095.126.peg.616","fig|1196095.121.peg.2347","fig|1196095.107.peg.485","fig|1196095.128.peg.1764","fig|1196095.122.peg.1355","fig|1196095.95.peg.237","fig|1196095.96.peg.1739","fig|1196095.99.peg.849","fig|1196095.134.peg.513","fig|1196095.100.peg.40","fig|1196095.118.peg.1427","fig|1196095.129.peg.231","fig|1196095.103.peg.179","fig|1196095.101.peg.32","fig|1196095.97.peg.1684","fig|1196095.105.peg.735","fig|1196095.127.peg.2303","fig|1196095.120.peg.9","fig|1196095.132.peg.1816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000255:","fig|1196095.106.peg.342","fig|1196095.128.peg.2103","fig|1196095.100.peg.1220","fig|1196095.98.peg.1324","fig|1196095.129.peg.520","fig|1196095.96.peg.1039","fig|1196095.99.peg.1538","fig|1196095.103.peg.651","fig|1196095.117.peg.1467","fig|1196095.133.peg.1463","fig|1196095.102.peg.1822","fig|1196095.125.peg.1741","fig|1196095.119.peg.1847","fig|1196095.114.peg.524","fig|1196095.107.peg.382","fig|1196095.116.peg.1863","fig|1196095.95.peg.280","fig|1196095.97.peg.445","fig|1196095.115.peg.1685","fig|1196095.120.peg.295","fig|1196095.108.peg.1057","fig|1196095.118.peg.911","fig|1196095.127.peg.459","fig|1196095.94.peg.1765","fig|1196095.105.peg.1765","fig|1196095.132.peg.2240","fig|1196095.135.peg.2442","fig|1196095.110.peg.368","fig|1196095.111.peg.1779","fig|1196095.122.peg.951","fig|1196095.109.peg.139","fig|1196095.121.peg.171","fig|1196095.126.peg.1908","fig|1196095.101.peg.1650","fig|1196095.123.peg.537","fig|1196095.133.peg.139","fig|1196095.104.peg.441","fig|1196095.131.peg.72","fig|1196095.124.peg.950","fig|1196095.112.peg.2003","fig|1196095.130.peg.1373","fig|1196095.134.peg.698","fig|1196095.113.peg.2047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000261:","fig|1196095.106.peg.392","fig|1196095.98.peg.139","fig|1196095.110.peg.499","fig|1196095.100.peg.1313","fig|1196095.107.peg.940","fig|1196095.108.peg.1988","fig|1196095.117.peg.319","fig|1196095.95.peg.2116","fig|1196095.122.peg.246","fig|1196095.111.peg.1214","fig|1196095.125.peg.1169","fig|1196095.119.peg.372","fig|1196095.114.peg.1932","fig|1196095.102.peg.2198","fig|1196095.94.peg.1954","fig|1196095.104.peg.391","fig|1196095.101.peg.800","fig|1196095.121.peg.1666","fig|1196095.105.peg.1132","fig|1196095.109.peg.2339","fig|1196095.97.peg.551","fig|1196095.132.peg.1397","fig|1196095.130.peg.729","fig|1196095.120.peg.2162","fig|1196095.128.peg.2051","fig|1196095.129.peg.2151","fig|1196095.115.peg.489","fig|1196095.96.peg.192","fig|1196095.116.peg.1612","fig|1196095.124.peg.2180","fig|1196095.133.peg.2539","fig|1196095.113.peg.376","fig|1196095.112.peg.750","fig|1196095.135.peg.1391","fig|1196095.103.peg.1469","fig|1196095.133.peg.2028","fig|1196095.99.peg.1761","fig|1196095.123.peg.1680","fig|1196095.134.peg.1725","fig|1196095.131.peg.1557","fig|1196095.118.peg.1987","fig|1196095.126.peg.133","fig|1196095.127.peg.1762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000294:","fig|1196095.106.peg.2258","fig|1196095.119.peg.1091","fig|1196095.96.peg.1860","fig|1196095.122.peg.1918","fig|1196095.101.peg.1917","fig|1196095.125.peg.2383","fig|1196095.109.peg.758","fig|1196095.103.peg.1846","fig|1196095.128.peg.1269","fig|1196095.99.peg.2464","fig|1196095.98.peg.2414","fig|1196095.127.peg.2198","fig|1196095.121.peg.558","fig|1196095.126.peg.1696","fig|1196095.111.peg.62","fig|1196095.134.peg.410","fig|1196095.105.peg.1234","fig|1196095.110.peg.102","fig|1196095.102.peg.2104","fig|1196095.114.peg.1444","fig|1196095.124.peg.279","fig|1196095.94.peg.134","fig|1196095.118.peg.1392","fig|1196095.129.peg.299","fig|1196095.120.peg.791","fig|1196095.133.peg.2658","fig|1196095.130.peg.1078","fig|1196095.116.peg.2639","fig|1196095.95.peg.1854","fig|1196095.104.peg.1023","fig|1196095.112.peg.2164","fig|1196095.123.peg.1065","fig|1196095.112.peg.2163","fig|1196095.100.peg.1873","fig|1196095.117.peg.1828","fig|1196095.107.peg.1748","fig|1196095.107.peg.1749","fig|1196095.132.peg.158","fig|1196095.108.peg.249","fig|1196095.97.peg.1523","fig|1196095.113.peg.783","fig|1196095.135.peg.898","fig|1196095.115.peg.899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
