0_0: fig|200643.10.peg.10
0_1: fig|200643.10.peg.11
0_2: fig|200643.10.peg.13
0_3: fig|200643.10.peg.14
0_4: fig|200643.10.peg.17
0_5: fig|200643.10.peg.18
0_6: fig|200643.10.peg.19
0_7: fig|200643.10.peg.20
0_8: fig|200643.10.peg.21
0_9: fig|200643.10.peg.22
0_10: fig|200643.10.peg.24
0_11: fig|200643.10.peg.25
0_12: fig|200643.10.peg.30
0_13: fig|200643.10.peg.31
0_14: fig|200643.10.peg.33
0_15: fig|200643.10.peg.34
0_16: fig|200643.10.peg.35
0_17: fig|200643.10.peg.37
0_18: fig|200643.10.peg.39
0_19: fig|200643.10.peg.41
0_20: fig|200643.10.peg.43
0_21: fig|200643.10.peg.44
0_22: fig|200643.10.peg.47
0_23: fig|200643.10.peg.49
0_24: fig|200643.10.peg.50
0_25: fig|200643.10.peg.53
0_26: fig|200643.10.peg.54
0_27: fig|200643.10.peg.56
0_28: fig|200643.10.peg.57
0_29: fig|200643.10.peg.58
0_30: fig|200643.10.peg.60
0_31: fig|200643.10.peg.62
0_32: fig|200643.10.peg.63
0_33: fig|200643.10.peg.64
0_34: fig|200643.10.peg.65
0_35: fig|200643.10.peg.66
0_36: fig|200643.10.peg.68
0_37: fig|200643.10.peg.71
0_38: fig|200643.10.peg.72
0_39: fig|200643.10.peg.73
0_40: fig|200643.10.peg.74
0_41: fig|200643.10.peg.76
0_42: fig|200643.10.peg.77
0_43: fig|200643.10.peg.78
0_44: fig|200643.10.peg.79
0_45: fig|200643.10.peg.80
0_46: fig|200643.10.peg.82
0_47: fig|200643.10.peg.83
0_48: fig|200643.10.peg.84
0_49: fig|200643.10.peg.86
0_50: fig|200643.10.peg.87
0_51: fig|200643.10.peg.90
0_52: fig|200643.10.peg.91
0_53: fig|200643.10.peg.92
0_54: fig|200643.10.peg.93
0_55: fig|200643.10.peg.94
0_56: fig|200643.10.peg.95
0_57: fig|200643.10.peg.96
0_58: fig|200643.10.peg.97
0_59: fig|200643.10.peg.99
0_60: fig|200643.10.peg.100
0_61: fig|200643.10.peg.116
0_62: fig|200643.10.peg.119
0_63: fig|200643.10.peg.121
0_64: fig|200643.10.peg.123
0_65: fig|200643.10.peg.125
0_66: fig|200643.10.peg.126
0_67: fig|200643.10.peg.127
0_68: fig|200643.10.peg.128
0_69: fig|200643.10.peg.130
0_70: fig|200643.10.peg.131
0_71: fig|200643.10.peg.132
0_72: fig|200643.10.peg.133
0_73: fig|200643.10.peg.134
0_74: fig|200643.10.peg.135
0_75: fig|200643.10.peg.136
0_76: fig|200643.10.peg.137
0_77: fig|200643.10.peg.138
0_78: fig|200643.10.peg.139
0_79: fig|200643.10.peg.140
0_80: fig|200643.10.peg.141
0_81: fig|200643.10.peg.144
0_82: fig|200643.10.peg.145
0_83: fig|200643.10.peg.150
0_84: fig|200643.10.peg.153
0_85: fig|200643.10.peg.155
0_86: fig|200643.10.peg.158
0_87: fig|200643.10.peg.160
0_88: fig|200643.10.peg.161
0_89: fig|200643.10.peg.162
0_90: fig|200643.10.peg.164
0_91: fig|200643.10.peg.165
0_92: fig|200643.10.peg.166
0_93: fig|200643.10.peg.169
0_94: fig|200643.10.peg.171
0_95: fig|200643.10.peg.172
0_96: fig|200643.10.peg.175
0_97: fig|200643.10.peg.177
0_98: fig|200643.10.peg.178
0_99: fig|200643.10.peg.179
0_100: fig|200643.10.peg.180
0_101: fig|200643.10.peg.181
0_102: fig|200643.10.peg.183
0_103: fig|200643.10.peg.184
0_104: fig|200643.10.peg.185
0_105: fig|200643.10.peg.187
0_106: fig|200643.10.peg.188
0_107: fig|200643.10.peg.189
0_108: fig|200643.10.peg.190
0_109: fig|200643.10.peg.194
0_110: fig|200643.10.peg.196
0_111: fig|200643.10.peg.197
0_112: fig|200643.10.peg.198
0_113: fig|200643.10.peg.208
0_114: fig|200643.10.peg.210
0_115: fig|200643.10.peg.211
0_116: fig|200643.10.peg.212
0_117: fig|200643.10.peg.213
0_118: fig|200643.10.peg.214
0_119: fig|200643.10.peg.215
0_120: fig|200643.10.peg.216
0_121: fig|200643.10.peg.217
0_122: fig|200643.10.peg.220
0_123: fig|200643.10.peg.227
0_124: fig|200643.10.peg.228
0_125: fig|200643.10.peg.230
0_126: fig|200643.10.peg.231
