n       n:100      n:N50     min      median    mean       N50        max          sum
73      73         9         336      14200     33129      71484      220168       2418433       App2_1/CA/10-gapclose/genome.ctg.fasta
119     119        16        302      9288      20873      47667      167125       2483892       App2_2/CA/10-gapclose/genome.ctg.fasta
53      53         5         421      6359      45931      145820     576511       2434386       App4_10/CA/10-gapclose/genome.ctg.fasta
115     115        10        306      5505      22414      71597      202531       2577724       App4_8/CA/10-gapclose/genome.ctg.fasta
108     108        8         326      3656      24290      97352      241491       2623320       App6_4/CA/10-gapclose/genome.ctg.fasta
106     106        13        303      7146      24848      66665      170584       2633935       App6_5/CA/10-gapclose/genome.ctg.fasta
98      98         5         325      3398      26036      176528     460592       2551594       Bif1_4/CA/10-gapclose/genome.ctg.fasta
107     107        12        450      3848      23714      71558      166138       2537475       Bim1-2_S1/CA/10-gapclose/genome.ctg.fasta
177     177        23        321      6701      14648      37453      109131       2592778       Bim3_2/CA/10-gapclose/genome.ctg.fasta
110     110        16        318      30447     54006      120695     451463       5940710       Bim4_9/CA/10-gapclose/genome.ctg.fasta
89      89         10        508      4229      24640      74181      203695       2193011       Choc3-5_S2/CA/10-gapclose/genome.ctg.fasta
78      78         9         405      5460      28808      79959      237060       2247082       Choc4-2_S3/CA/10-gapclose/genome.ctg.fasta
125     125        14        363      4490      21026      66703      121867       2628355       Choc5-1_S4/CA/10-gapclose/genome.ctg.fasta
68      68         7         464      5574      32067      105607     238257       2180622       Choc6-1_S5/CA/10-gapclose/genome.ctg.fasta
118     118        18        329      13505     23231      44896      157591       2741337       Fer1_1/CA/10-gapclose/genome.ctg.fasta
66      66         6         305      5735      37010      153029     294125       2442708       Fer1_2/CA/10-gapclose/genome.ctg.fasta
207     207        32        349      7286      12616      24516      87394        2611703       Fer2_1/CA/10-gapclose/genome.ctg.fasta
53      53         7         301      9263      44505      132767     299989       2358796       Fer2_2/CA/10-gapclose/genome.ctg.fasta
360     360        58        342      4727      7000       12144      42329        2520134       Fer4_1/CA/10-gapclose/genome.ctg.fasta
