n       n:100      n:N50     min      median    mean       N50        max          sum
103     103        16        754      11645     22251      50715      179474       2291947       App2_1_95/contigs.fa
110     110        15        563      10975     21420      47942      158203       2356292       App2_2_95/contigs.fa
115     115        15        768      8380      19968      52662      145285       2296388       App4_10_95/contigs.fa
95      95         11        783      8140      24939      63132      226958       2369235       App4_8_95/contigs.fa
94      94         13        757      9567      25770      62717      150053       2422390       App6_4_95/contigs.fa
126     126        20        822      10629     19701      37919      146805       2482428       App6_5_95/contigs.fa
81      81         7         788      3122      30230      131743     283537       2448683       Bif1_4_95/contigs.fa
173     173        27        754      7971      13546      26468      103048       2343467       Bim3_2_95/contigs.fa
109     109        17        762      29608     53009      97605      365931       5778054       Bim4_9_95/contigs.fa
152     152        19        770      7518      17580      43630      142285       2672192       Fer1_1_95/contigs.fa
65      65         7         752      5891      36277      118323     259322       2358023       Fer1_2_95/contigs.fa
210     210        34        763      6908      12026      23606      90521        2525515       Fer2_1_95/contigs.fa
42      42         6         823      15735     54766      149141     320533       2300180       Fer2_2_95/contigs.fa
284     284        51        765      5412      8900       16222      67623        2527606       Fer4_1_95/contigs.fa
42      42         6         907      36424     58519      122151     430614       2457812       Fer4_2_95/contigs.fa
138     138        26        754      11256     17096      31953      111177       2359288       Gris3_2_95/contigs.fa
40      40         5         758      13116     59604      214822     412929       2384194       Gris3_4_95/contigs.fa
112     112        15        765      11269     23756      60680      150903       2660725       Nev3_1_95/contigs.fa
93      93         13        770      11834     27490      65020      153661       2556647       Nev3CBA3_95/contigs.fa
51      51         6         519      19371     50554      171579     372649       2578256       Nev4_2_95/contigs.fa
128     128        16        800      6316      20008      55244      117519       2561051       Nev5_1_95/contigs.fa
152     152        19        757      6401      16876      41215      115098       2565204       Nev6_6_95/contigs.fa
107     107        20        817      14880     20108      30166      121641       2151654       Occ3_1_95/contigs.fa
38      38         6         942      7689      62850      185982     357613       2388310       Occ4_2_95/contigs.fa
162     162        28        768      9779      15075      28584      86225        2442168       Occ4_3_95/contigs.fa
42      42         6         758      23054     55355      127190     349607       2324930       Ruf1_X_95/contigs.fa
48      48         7         822      24076     52251      130762     276520       2508084       WF3_3_95/contigs.fa
50      50         6         809      9854      55094      170013     412273       2754724       WF3_4_95/contigs.fa
123     123        21        756      14276     23322      43210      164572       2868721       wkB108_95/contigs.fa
30      30         4         873      28650     83518      290948     384387       2505541       wkB112_95/contigs.fa
174     174        27        791      8382      14035      27918      77007        2442252       wkB171_95/contigs.fa
14      14         2         844      62705     167157     353604     1092446      2340210       wkB178_95/contigs.fa
57      57         9         851      21100     44998      105549     190905       2564935       wkB180B_95/contigs.fa
121     121        20        780      12338     19730      43132      113672       2387359       wkB195_95/contigs.fa
673     673        21        752      1840      5879       48678      192756       3956816       wkB233A_95/contigs.fa
18      18         2         1205     39007     128611     465150     741414       2315015       wkB237A_95/contigs.fa
24      24         3         1047     35913     95590      284291     670617       2294179       wkB273_95/contigs.fa
206     206        37        750      7522      11617      19559      67442        2393107       wkB292_95/contigs.fa
25      25         3         957      17393     91627      280542     743868       2290677       wkB298B_95/contigs.fa
31      31         3         873      5365      87169      354990     636443       2702267       wkB301A_95/contigs.fa
43      43         5         757      25723     58067      192032     363246       2496893       wkB308_95/contigs.fa
19      19         2         780      17346     120405     413759     887375       2287700       wkB309_95/contigs.fa
21      21         3         797      32436     117457     324768     824052       2466607       wkB332_95/contigs.fa
36      36         5         1078     13038     56363      142463     321699       2029079       wkB338_95/contigs.fa
43      43         7         759      31995     57149      130038     273962       2457430       wkB339_95/contigs.fa
6       6          1         1379     55416     343264     1921748    1921748      2059585       wkB344_95/contigs.fa
68      68         11        863      23684     37486      63979      254917       2549055       wkB72_95/contigs.fa
