"","gene_1","gene_2","gene_3","gene_4","gene_5","gene_6","gene_7","gene_8","gene_9","gene_10","gene_11","gene_12","gene_13","gene_14","gene_15","gene_16","gene_17","gene_18","gene_19","gene_20","gene_21","gene_22","gene_23","gene_24","gene_25","gene_26","gene_27","gene_28","gene_29","gene_30","gene_31","gene_32","gene_33","gene_34","gene_35","gene_36","gene_37","gene_38","gene_39","gene_40","gene_41","gene_42"
"OG0000320:","fig|1196095.96.peg.253","fig|1196095.108.peg.268","fig|1196095.127.peg.2249","fig|1196095.98.peg.2306","fig|1196095.110.peg.117","fig|1196095.112.peg.1722","fig|1196095.119.peg.586","fig|1196095.114.peg.1280","fig|1196095.100.peg.2","fig|1196095.123.peg.738","fig|1196095.132.peg.1864","fig|1196095.102.peg.1413","fig|1196095.115.peg.1771","fig|1196095.135.peg.442","fig|1196095.116.peg.2618","fig|1196095.95.peg.193","fig|1196095.113.peg.802","fig|1196095.106.peg.540","fig|1196095.121.peg.2304","fig|1196095.134.peg.562","fig|1196095.130.peg.90","fig|1196095.118.peg.553","fig|1196095.101.peg.70","fig|1196095.128.peg.2217","fig|1196095.99.peg.1452","fig|1196095.129.peg.825","fig|1196095.122.peg.1408","fig|1196095.94.peg.748","fig|1196095.104.peg.1008","fig|1196095.133.peg.2690","fig|1196095.124.peg.618","fig|1196095.103.peg.978","fig|1196095.107.peg.1787","fig|1196095.97.peg.1203","fig|1196095.109.peg.1414","fig|1196095.111.peg.77","fig|1196095.117.peg.1849","fig|1196095.120.peg.1565","fig|1196095.105.peg.1221","fig|1196095.126.peg.861","fig|1196095.125.peg.447","fig|1196095.131.peg.554"
"OG0000321:","fig|1196095.96.peg.252","fig|1196095.95.peg.194","fig|1196095.104.peg.1009","fig|1196095.106.peg.541","fig|1196095.114.peg.1279","fig|1196095.119.peg.587","fig|1196095.98.peg.2305","fig|1196095.112.peg.1723","fig|1196095.100.peg.3","fig|1196095.123.peg.737","fig|1196095.132.peg.1863","fig|1196095.102.peg.1414","fig|1196095.115.peg.1772","fig|1196095.131.peg.555","fig|1196095.134.peg.561","fig|1196095.113.peg.801","fig|1196095.121.peg.2305","fig|1196095.126.peg.860","fig|1196095.101.peg.69","fig|1196095.124.peg.617","fig|1196095.128.peg.2218","fig|1196095.99.peg.1453","fig|1196095.122.peg.1407","fig|1196095.129.peg.826","fig|1196095.94.peg.749","fig|1196095.118.peg.554","fig|1196095.127.peg.2250","fig|1196095.133.peg.2691","fig|1196095.120.peg.1564","fig|1196095.103.peg.977","fig|1196095.130.peg.89","fig|1196095.107.peg.1786","fig|1196095.97.peg.1204","fig|1196095.111.peg.76","fig|1196095.108.peg.267","fig|1196095.109.peg.1415","fig|1196095.117.peg.1848","fig|1196095.105.peg.1222","fig|1196095.125.peg.448","fig|1196095.135.peg.443","fig|1196095.116.peg.2619","fig|1196095.110.peg.116"
"OG0000322:","fig|1196095.96.peg.251","fig|1196095.118.peg.555","fig|1196095.106.peg.542","fig|1196095.98.peg.2304","fig|1196095.100.peg.4","fig|1196095.119.peg.588","fig|1196095.112.peg.1724","fig|1196095.132.peg.1862","fig|1196095.123.peg.736","fig|1196095.114.peg.1278","fig|1196095.103.peg.976","fig|1196095.116.peg.2620","fig|1196095.102.peg.1415","fig|1196095.115.peg.1773","fig|1196095.131.peg.556","fig|1196095.95.peg.195","fig|1196095.109.peg.1416","fig|1196095.113.peg.800","fig|1196095.121.peg.2306","fig|1196095.126.peg.859","fig|1196095.133.peg.2481","fig|1196095.99.peg.1454","fig|1196095.101.peg.68","fig|1196095.120.peg.1563","fig|1196095.124.peg.616","fig|1196095.128.peg.2219","fig|1196095.130.peg.88","fig|1196095.122.peg.1406","fig|1196095.94.peg.750","fig|1196095.104.peg.1010","fig|1196095.127.peg.2251","fig|1196095.129.peg.827","fig|1196095.97.peg.1205","fig|1196095.107.peg.1785","fig|1196095.108.peg.266","fig|1196095.117.peg.1847","fig|1196095.135.peg.444","fig|1196095.105.peg.1223","fig|1196095.125.peg.449","fig|1196095.111.peg.75","fig|1196095.134.peg.560","fig|1196095.110.peg.115"
"OG0000323:","fig|1196095.110.peg.32","fig|1196095.122.peg.1400","fig|1196095.135.peg.450","fig|1196095.101.peg.64","fig|1196095.94.peg.756","fig|1196095.99.peg.36","fig|1196095.100.peg.8","fig|1196095.97.peg.1192","fig|1196095.123.peg.730","fig|1196095.103.peg.972","fig|1196095.95.peg.202","fig|1196095.102.peg.1419","fig|1196095.108.peg.259","fig|1196095.106.peg.397","fig|1196095.118.peg.239","fig|1196095.127.peg.2258","fig|1196095.126.peg.855","fig|1196095.125.peg.455","fig|1196095.114.peg.1272","fig|1196095.96.peg.246","fig|1196095.116.peg.2716","fig|1196095.119.peg.594","fig|1196095.105.peg.1071","fig|1196095.124.peg.204","fig|1196095.129.peg.833","fig|1196095.130.peg.80","fig|1196095.98.peg.1437","fig|1196095.131.peg.562","fig|1196095.133.peg.1593","fig|1196095.111.peg.353","fig|1196095.112.peg.1713","fig|1196095.104.peg.1101","fig|1196095.120.peg.1578","fig|1196095.109.peg.1403","fig|1196095.117.peg.472","fig|1196095.132.peg.1857","fig|1196095.115.peg.1778","fig|1196095.134.peg.553","fig|1196095.107.peg.290","fig|1196095.121.peg.2311","fig|1196095.128.peg.2225","fig|1196095.113.peg.793"
"OG0000325:","fig|1196095.113.peg.1203","fig|1196095.101.peg.60","fig|1196095.122.peg.1396","fig|1196095.100.peg.12","fig|1196095.110.peg.36","fig|1196095.108.peg.1145","fig|1196095.106.peg.211","fig|1196095.124.peg.208","fig|1196095.133.peg.3005","fig|1196095.94.peg.760","fig|1196095.102.peg.1497","fig|1196095.131.peg.576","fig|1196095.104.peg.1097","fig|1196095.103.peg.968","fig|1196095.97.peg.1198","fig|1196095.116.peg.2712","fig|1196095.120.peg.1570","fig|1196095.114.peg.1268","fig|1196095.134.peg.549","fig|1196095.125.peg.460","fig|1196095.127.peg.2262","fig|1196095.118.peg.243","fig|1196095.119.peg.598","fig|1196095.96.peg.242","fig|1196095.126.peg.643","fig|1196095.105.peg.1075","fig|1196095.99.peg.1447","fig|1196095.117.peg.476","fig|1196095.112.peg.1717","fig|1196095.111.peg.357","fig|1196095.95.peg.206","fig|1196095.98.peg.2311","fig|1196095.129.peg.837","fig|1196095.107.peg.1792","fig|1196095.135.peg.916","fig|1196095.109.peg.1409","fig|1196095.115.peg.1782","fig|1196095.132.peg.1853","fig|1196095.123.peg.726","fig|1196095.130.peg.76","fig|1196095.128.peg.2229","fig|1196095.121.peg.2316"
"OG0000326:","fig|1196095.102.peg.1500","fig|1196095.133.peg.2478","fig|1196095.122.peg.1393","fig|1196095.110.peg.39","fig|1196095.101.peg.57","fig|1196095.108.peg.1148","fig|1196095.128.peg.1730","fig|1196095.112.peg.1720","fig|1196095.96.peg.239","fig|1196095.111.peg.360","fig|1196095.113.peg.1200","fig|1196095.103.peg.965","fig|1196095.132.peg.1850","fig|1196095.116.peg.2709","fig|1196095.104.peg.1094","fig|1196095.120.peg.1567","fig|1196095.94.peg.763","fig|1196095.124.peg.211","fig|1196095.114.peg.1265","fig|1196095.99.peg.1450","fig|1196095.134.peg.546","fig|1196095.106.peg.214","fig|1196095.107.peg.1789","fig|1196095.105.peg.1078","fig|1196095.126.peg.640","fig|1196095.129.peg.259","fig|1196095.119.peg.601","fig|1196095.131.peg.579","fig|1196095.98.peg.2308","fig|1196095.118.peg.246","fig|1196095.100.peg.15","fig|1196095.135.peg.919","fig|1196095.109.peg.1412","fig|1196095.97.peg.1201","fig|1196095.115.peg.1785","fig|1196095.95.peg.209","fig|1196095.117.peg.479","fig|1196095.125.peg.463","fig|1196095.127.peg.2265","fig|1196095.121.peg.2319","fig|1196095.130.peg.73","fig|1196095.123.peg.723"
"OG0000327:","fig|1196095.102.peg.1502","fig|1196095.105.peg.1081","fig|1196095.101.peg.55","fig|1196095.108.peg.1150","fig|1196095.98.peg.185","fig|1196095.117.peg.482","fig|1196095.131.peg.590","fig|1196095.110.peg.41","fig|1196095.99.peg.1707","fig|1196095.96.peg.237","fig|1196095.120.peg.817","fig|1196095.103.peg.963","fig|1196095.135.peg.921","fig|1196095.111.peg.1","fig|1196095.115.peg.1787","fig|1196095.116.peg.2706","fig|1196095.104.peg.1092","fig|1196095.109.peg.523","fig|1196095.132.peg.1848","fig|1196095.121.peg.2322","fig|1196095.130.peg.71","fig|1196095.114.peg.1263","fig|1196095.112.peg.1557","fig|1196095.134.peg.544","fig|1196095.124.peg.213","fig|1196095.122.peg.1391","fig|1196095.126.peg.638","fig|1196095.97.peg.845","fig|1196095.113.peg.1198","fig|1196095.106.peg.476","fig|1196095.128.peg.1732","fig|1196095.95.peg.211","fig|1196095.119.peg.603","fig|1196095.100.peg.17","fig|1196095.94.peg.765","fig|1196095.118.peg.249","fig|1196095.125.peg.1027","fig|1196095.133.peg.3676","fig|1196095.129.peg.252","fig|1196095.127.peg.2267","fig|1196095.123.peg.721","fig|1196095.107.peg.2282"
"OG0000328:","fig|1196095.122.peg.1390","fig|1196095.101.peg.54","fig|1196095.98.peg.184","fig|1196095.105.peg.1082","fig|1196095.117.peg.483","fig|1196095.124.peg.214","fig|1196095.110.peg.42","fig|1196095.102.peg.1503","fig|1196095.96.peg.236","fig|1196095.118.peg.250","fig|1196095.120.peg.816","fig|1196095.103.peg.962","fig|1196095.125.peg.1026","fig|1196095.131.peg.591","fig|1196095.111.peg.2","fig|1196095.115.peg.1788","fig|1196095.109.peg.524","fig|1196095.132.peg.1847","fig|1196095.128.peg.1733","fig|1196095.121.peg.2323","fig|1196095.114.peg.1262","fig|1196095.130.peg.70","fig|1196095.126.peg.637","fig|1196095.134.peg.543","fig|1196095.108.peg.1151","fig|1196095.97.peg.844","fig|1196095.113.peg.1197","fig|1196095.99.peg.1706","fig|1196095.106.peg.477","fig|1196095.119.peg.604","fig|1196095.116.peg.2705","fig|1196095.135.peg.922","fig|1196095.100.peg.18","fig|1196095.95.peg.212","fig|1196095.94.peg.766","fig|1196095.112.peg.1556","fig|1196095.133.peg.3677","fig|1196095.104.peg.1091","fig|1196095.129.peg.251","fig|1196095.127.peg.2268","fig|1196095.123.peg.720","fig|1196095.107.peg.2281"
"OG0000329:","fig|1196095.114.peg.1261","fig|1196095.124.peg.215","fig|1196095.120.peg.815","fig|1196095.105.peg.1083","fig|1196095.97.peg.843","fig|1196095.117.peg.484","fig|1196095.102.peg.1504","fig|1196095.96.peg.235","fig|1196095.133.peg.3678","fig|1196095.125.peg.1025","fig|1196095.103.peg.961","fig|1196095.131.peg.592","fig|1196095.111.peg.3","fig|1196095.98.peg.183","fig|1196095.115.peg.1789","fig|1196095.116.peg.2704","fig|1196095.109.peg.525","fig|1196095.99.peg.1705","fig|1196095.132.peg.1846","fig|1196095.121.peg.2324","fig|1196095.129.peg.250","fig|1196095.101.peg.53","fig|1196095.130.peg.69","fig|1196095.134.peg.542","fig|1196095.108.peg.1152","fig|1196095.110.peg.43","fig|1196095.113.peg.1196","fig|1196095.122.peg.1389","fig|1196095.126.peg.636","fig|1196095.106.peg.478","fig|1196095.128.peg.1734","fig|1196095.119.peg.605","fig|1196095.135.peg.923","fig|1196095.100.peg.19","fig|1196095.95.peg.213","fig|1196095.94.peg.767","fig|1196095.112.peg.1555","fig|1196095.104.peg.1090","fig|1196095.118.peg.251","fig|1196095.127.peg.2269","fig|1196095.123.peg.719","fig|1196095.107.peg.2280"
"OG0000330:","fig|1196095.114.peg.1260","fig|1196095.105.peg.1084","fig|1196095.98.peg.182","fig|1196095.124.peg.216","fig|1196095.117.peg.485","fig|1196095.120.peg.814","fig|1196095.125.peg.1024","fig|1196095.133.peg.3679","fig|1196095.112.peg.1554","fig|1196095.96.peg.234","fig|1196095.103.peg.960","fig|1196095.135.peg.924","fig|1196095.111.peg.4","fig|1196095.131.peg.593","fig|1196095.116.peg.2703","fig|1196095.115.peg.1790","fig|1196095.109.peg.526","fig|1196095.129.peg.249","fig|1196095.132.peg.1845","fig|1196095.121.peg.2325","fig|1196095.102.peg.1505","fig|1196095.130.peg.68","fig|1196095.101.peg.52","fig|1196095.134.peg.541","fig|1196095.97.peg.842","fig|1196095.108.peg.1153","fig|1196095.110.peg.44","fig|1196095.113.peg.1195","fig|1196095.99.peg.1704","fig|1196095.126.peg.635","fig|1196095.122.peg.1388","fig|1196095.128.peg.1735","fig|1196095.119.peg.606","fig|1196095.106.peg.479","fig|1196095.104.peg.1089","fig|1196095.100.peg.20","fig|1196095.118.peg.252","fig|1196095.94.peg.768","fig|1196095.95.peg.214","fig|1196095.127.peg.2270","fig|1196095.123.peg.718","fig|1196095.107.peg.2279"
"OG0000331:","fig|1196095.105.peg.1085","fig|1196095.98.peg.181","fig|1196095.117.peg.486","fig|1196095.114.peg.1259","fig|1196095.120.peg.813","fig|1196095.125.peg.1023","fig|1196095.103.peg.959","fig|1196095.112.peg.1553","fig|1196095.96.peg.233","fig|1196095.111.peg.5","fig|1196095.131.peg.594","fig|1196095.116.peg.2702","fig|1196095.115.peg.1791","fig|1196095.132.peg.1844","fig|1196095.109.peg.527","fig|1196095.102.peg.1506","fig|1196095.121.peg.2326","fig|1196095.129.peg.248","fig|1196095.130.peg.67","fig|1196095.122.peg.1387","fig|1196095.108.peg.1154","fig|1196095.110.peg.45","fig|1196095.101.peg.51","fig|1196095.124.peg.217","fig|1196095.99.peg.1703","fig|1196095.126.peg.634","fig|1196095.128.peg.1736","fig|1196095.113.peg.1194","fig|1196095.106.peg.480","fig|1196095.119.peg.607","fig|1196095.104.peg.1088","fig|1196095.100.peg.21","fig|1196095.133.peg.2601","fig|1196095.94.peg.769","fig|1196095.118.peg.253","fig|1196095.95.peg.215","fig|1196095.127.peg.2271","fig|1196095.134.peg.540","fig|1196095.123.peg.717","fig|1196095.107.peg.2278","fig|1196095.135.peg.925","fig|1196095.97.peg.841"
