n       n:100      n:N50     min      median    mean       N50        max          sum
88      88         11        336      13022     27477      65999      220168       2417979       App2_1/CA/9-terminator/genome.ctg.fasta
132     132        17        302      7752      18808      47492      127040       2482771       App2_2/CA/9-terminator/genome.ctg.fasta
64      64         8         421      7036      38035      91199      468575       2434273       App4_10/CA/9-terminator/genome.ctg.fasta
124     124        11        306      4730      20784      68924      183718       2577334       App4_8/CA/9-terminator/genome.ctg.fasta
117     117        9         326      3498      22418      97201      235789       2623004       App6_4/CA/9-terminator/genome.ctg.fasta
112     112        13        303      6086      23512      66665      170177       2633452       App6_5/CA/9-terminator/genome.ctg.fasta
105     105        5         325      2851      24294      176528     460592       2550913       Bif1_4/CA/9-terminator/genome.ctg.fasta
107     107        12        450      3848      23714      71558      166138       2537475       Bim1-2_S1/CA/9-terminator/genome.ctg.fasta
206     206        27        320      5106      12581      27739      109131       2591724       Bim3_2/CA/9-terminator/genome.ctg.fasta
122     122        18        318      30447     48695      91076      335733       5940791       Bim4_9/CA/9-terminator/genome.ctg.fasta
89      89         10        508      4229      24640      74181      203695       2193011       Choc3-5_S2/CA/9-terminator/genome.ctg.fasta
79      79         9         200      5155      28446      79959      237060       2247282       Choc4-2_S3/CA/9-terminator/genome.ctg.fasta
125     125        14        363      4490      21026      66703      121867       2628355       Choc5-1_S4/CA/9-terminator/genome.ctg.fasta
68      68         7         464      5574      32067      105607     238257       2180622       Choc6-1_S5/CA/9-terminator/genome.ctg.fasta
145     145        22        329      11492     18900      34438      145778       2740544       Fer1_1/CA/9-terminator/genome.ctg.fasta
66      66         6         305      5735      37010      153029     294125       2442708       Fer1_2/CA/9-terminator/genome.ctg.fasta
265     265        40        301      5304      9847       18893      76002        2609657       Fer2_1/CA/9-terminator/genome.ctg.fasta
54      54         7         301      9263      43678      132767     299989       2358656       Fer2_2/CA/9-terminator/genome.ctg.fasta
459     459        76        308      3462      5481       8819       41071        2516111       Fer4_1/CA/9-terminator/genome.ctg.fasta
97      97         6         294      1968      31286      172798     432023       3034776       Fer4_2/CA/9-terminator/genome.ctg.fasta
163     163        22        363      6404      14676      33677      113195       2392232       GillExp13_S6/CA/9-terminator/genome.ctg.fasta
58      58         7         701      22180     42102      128979     276995       2441972       Gris1-3_S7/CA/9-terminator/genome.ctg.fasta
90      90         16        349      17696     26209      58267      112374       2358864       Gris1-4_S8/CA/9-terminator/genome.ctg.fasta
50      50         6         597      17802     49194      149104     308696       2459710       Gris1-6_S9/CA/9-terminator/genome.ctg.fasta
104     104        14        358      10297     24537      55963      191293       2551937       Gris3_2/CA/9-terminator/genome.ctg.fasta
48      48         6         331      8146      51108      122377     330455       2453208       Gris3_4/CA/9-terminator/genome.ctg.fasta
117     117        13        549      5546      24301      79103      254983       2843330       HK2_S10/CA/9-terminator/genome.ctg.fasta
75      75         7         314      7942      34787      92612      618239       2609067       HK3_S11/CA/9-terminator/genome.ctg.fasta
137     137        15        520      5533      20672      59720      208448       2832078       HK7_S12/CA/9-terminator/genome.ctg.fasta
110     110        7         303      2782      23351      120216     272954       2568638       HK9x_S13/CA/9-terminator/genome.ctg.fasta
141     141        20        407      8494      16735      34994      110047       2359762       Imp1-1_S14/CA/9-terminator/genome.ctg.fasta
91      91         17        467      19499     24940      45049      112921       2269603       Imp1-6_S15/CA/9-terminator/genome.ctg.fasta
688     688        85        339      4068      7268       12429      153661       5000762       M1-1S_S16/CA/9-terminator/genome.ctg.fasta
10      10         3         2078     241517    238882     342893     685108       2388823       M1-2G_S17/CA/9-terminator/genome.ctg.fasta
906     906        21        306      1488      4734       31998      266376       4289024       M1-3S_S18/CA/9-terminator/genome.ctg.fasta
1708    1708       149       302      1594      3338       5904       159960       5702021       M3-1G_S19/CA/9-terminator/genome.ctg.fasta
83      83         3         305      583       34024      422806     571087       2824058       M6-1G_S20/CA/9-terminator/genome.ctg.fasta
87      87         6         315      756       31150      177228     381896       2710051       M6-3G_S21/CA/9-terminator/genome.ctg.fasta
938     938        36        302      1739      4763       16653      209891       4468287       M7-1S_S22/CA/9-terminator/genome.ctg.fasta
42      42         4         302      1574      48311      190435     428191       2029076       MRS3-2_S23/CA/9-terminator/genome.ctg.fasta
96      96         11        301      7793      29765      103467     173002       2857463       Nev3_1/CA/9-terminator/genome.ctg.fasta
141     141        11        302      3008      20088      75458      298627       2832433       Nev3CBA3/CA/9-terminator/genome.ctg.fasta
93      93         8         315      4561      27768      95658      376562       2582500       Nev4_2/CA/9-terminator/genome.ctg.fasta
101     101        14        375      9177      26864      68270      138276       2713307       Nev5_1/CA/9-terminator/genome.ctg.fasta
135     135        18        300      8400      19921      43869      190460       2689410       Nev6_6/CA/9-terminator/genome.ctg.fasta
38      38         8         331      41453     58756      101523     201490       2232752       Occ3_1/CA/9-terminator/genome.ctg.fasta
55      55         6         305      5400      45254      151012     368096       2488985       Occ4_2/CA/9-terminator/genome.ctg.fasta
145     145        16        300      6331      18525      48971      170172       2686183       Occ4_3/CA/9-terminator/genome.ctg.fasta
2793    2793       204       300      1163      2660       5899       351042       7430913       P46G_S24/CA/9-terminator/genome.ctg.fasta
57      57         8         330      20198     54506      129582     263540       3106886       P54G_S25/CA/9-terminator/genome.ctg.fasta
20      20         5         973      117582    127455     172591     441217       2549106       P62G_S26/CA/9-terminator/genome.ctg.fasta
63      63         9         846      16237     40949      100814     212927       2579840       P71S_S27/CA/9-terminator/genome.ctg.fasta
93      93         14        585      11845     27616      59207      170177       2568358       P78S_S28/CA/9-terminator/genome.ctg.fasta
30      30         5         334      45059     83167      168685     367417       2495029       P83G_S29/CA/9-terminator/genome.ctg.fasta
32      32         6         392      56298     86316      147429     451901       2762133       Ruf1_X/CA/9-terminator/genome.ctg.fasta
72      72         7         302      3854      36161      133888     333881       2603628       WF3_3/CA/9-terminator/genome.ctg.fasta
63      63         7         360      3420      45195      165092     345860       2847289       WF3_4/CA/9-terminator/genome.ctg.fasta
129     129        13        322      3952      23846      77698      197583       3076170       wkB108/CA/9-terminator/genome.ctg.fasta
24      24         6         378      69554     87836      142482     301146       2108084       wkB10_S30/CA/9-terminator/genome.ctg.fasta
22      22         3         325      19500     115104     293117     614553       2532308       wkB112/CA/9-terminator/genome.ctg.fasta
69      69         6         306      8389      38705      144296     504526       2670660       wkB171/CA/9-terminator/genome.ctg.fasta
16      16         2         363      1778      148064     588434     882024       2369030       wkB178/CA/9-terminator/genome.ctg.fasta
26      26         6         331      101075    101153     165551     386079       2629995       wkB180B/CA/9-terminator/genome.ctg.fasta
113     113        13        378      5301      20991      67286      139478       2371993       wkB18_S31/CA/9-terminator/genome.ctg.fasta
43      43         7         635      38352     58159      101351     445408       2500871       wkB195/CA/9-terminator/genome.ctg.fasta
2122    2122       16        300      585       1989       45404      316504       4221961       wkB233A/CA/9-terminator/genome.ctg.fasta
22      22         3         302      39041     105495     327688     730172       2320890       wkB237A/CA/9-terminator/genome.ctg.fasta
32      32         2         253      10782     72428      335346     925894       2317704       wkB273/CA/9-terminator/genome.ctg.fasta
123     123        12        331      6801      22273      75796      168008       2739649       wkB292/CA/9-terminator/genome.ctg.fasta
45      45         3         292      3177      51960      300195     569578       2338232       wkB298B/CA/9-terminator/genome.ctg.fasta
63      63         5         313      2371      43984      205333     443837       2771052       wkB301A/CA/9-terminator/genome.ctg.fasta
47      47         4         331      4900      58236      191900     569688       2737107       wkB308/CA/9-terminator/genome.ctg.fasta
33      33         3         301      836       68215      347325     564176       2251102       wkB309/CA/9-terminator/genome.ctg.fasta
32      32         3         325      2023      77731      502922     619383       2487400       wkB332/CA/9-terminator/genome.ctg.fasta
63      63         6         306      5020      34851      145608     390730       2195618       wkB338/CA/9-terminator/genome.ctg.fasta
27      27         3         382      24562     92589      431105     619082       2499917       wkB339/CA/9-terminator/genome.ctg.fasta
28      28         3         200      2414      74642      335732     456063       2089999       wkB344/CA/9-terminator/genome.ctg.fasta
32      32         4         324      2911      80342      211521     627210       2570971       wkB72/CA/9-terminator/genome.ctg.fasta
80      80         9         671      11580     36155      97284      342593       2892468       wkB7_S32/CA/9-terminator/genome.ctg.fasta
15      15         2         300      67139     127995     427270     689039       1919931       wkB8_S33/CA/9-terminator/genome.ctg.fasta
15      15         2         365      80213     169902     663898     795200       2548535       wkB9_S34/CA/9-terminator/genome.ctg.fasta
