"","gene_1","gene_2","gene_3","gene_4","gene_5","gene_6","gene_7","gene_8","gene_9","gene_10","gene_11","gene_12","gene_13","gene_14","gene_15","gene_16","gene_17","gene_18","gene_19","gene_20","gene_21","gene_22","gene_23","gene_24","gene_25","gene_26","gene_27","gene_28","gene_29","gene_30","gene_31","gene_32","gene_33","gene_34","gene_35","gene_36","gene_37","gene_38","gene_39","gene_40","gene_41","gene_42","gene_43","gene_44","gene_45","gene_46","gene_47","gene_48","gene_49","gene_50","gene_51","gene_52","gene_53","gene_54","gene_55","gene_56","gene_57","gene_58","gene_59","gene_60","gene_61","gene_62","gene_63","gene_64","gene_65","gene_66","gene_67","gene_68","gene_69","gene_70","gene_71","gene_72","gene_73","gene_74","gene_75","gene_76","gene_77","gene_78","gene_79","gene_80","gene_81","gene_82","gene_83","gene_84","gene_85","gene_90","gene_91","gene_98","gene_110","gene_111","gene_130","gene_135","gene_169","gene_200","gene_201"
"OG0000040:","fig|1196095.133.peg.2951","fig|1196095.120.peg.501","fig|1196095.111.peg.2124","fig|1196095.95.peg.583","fig|1196095.117.peg.2545","fig|1196095.125.peg.989","fig|1196095.123.peg.2113","fig|1196095.126.peg.1521","fig|1196095.124.peg.1526","fig|1196095.131.peg.365","fig|1196095.102.peg.948","fig|1196095.116.peg.2068","fig|1196095.127.peg.107","fig|1196095.114.peg.139","fig|1196095.123.peg.1211","fig|1196095.95.peg.1296","fig|1196095.125.peg.75","fig|1196095.114.peg.950","fig|1196095.130.peg.1892","fig|1196095.134.peg.344","fig|1196095.97.peg.1800","fig|1196095.112.peg.240","fig|1196095.119.peg.2061","fig|1196095.94.peg.209","fig|1196095.99.peg.101","fig|1196095.107.peg.669","fig|1196095.119.peg.1485","fig|1196095.107.peg.1343","fig|1196095.121.peg.1403","fig|1196095.115.peg.2212","fig|1196095.118.peg.1771","fig|1196095.101.peg.1583","fig|1196095.129.peg.1972","fig|1196095.135.peg.1198","fig|1196095.128.peg.150","fig|1196095.98.peg.4","fig|1196095.120.peg.227","fig|1196095.129.peg.1185","fig|1196095.128.peg.737","fig|1196095.132.peg.591","fig|1196095.131.peg.1724","fig|1196095.108.peg.57","fig|1196095.106.peg.2128","fig|1196095.105.peg.593","fig|1196095.106.peg.2282","fig|1196095.105.peg.515","fig|1196095.113.peg.1504","fig|1196095.108.peg.623","fig|1196095.122.peg.451","fig|1196095.130.peg.321","fig|1196095.111.peg.2365","fig|1196095.124.peg.1408","fig|1196095.122.peg.641","fig|1196095.104.peg.1927","fig|1196095.104.peg.430","fig|1196095.102.peg.1990","fig|1196095.118.peg.291","fig|1196095.109.peg.2006","fig|1196095.97.peg.1694","fig|1196095.121.peg.190","fig|1196095.115.peg.791","fig|1196095.132.peg.1032","fig|1196095.134.peg.1036","fig|1196095.99.peg.152","fig|1196095.109.peg.2449","fig|1196095.135.peg.1598","fig|1196095.94.peg.1350","fig|1196095.110.peg.678","fig|1196095.98.peg.680","fig|1196095.112.peg.900","fig|1196095.127.peg.793","fig|1196095.116.peg.1529","fig|1196095.100.peg.1281","fig|1196095.113.peg.418","fig|1196095.96.peg.1186","fig|1196095.117.peg.1515","fig|1196095.103.peg.898","fig|1196095.110.peg.2386","","","","","","","","","","","","","","","","",""
"OG0000080:","fig|1196095.133.peg.2855","fig|1196095.124.peg.2104","fig|1196095.94.peg.653","fig|1196095.98.peg.1810","fig|1196095.109.peg.1633","fig|1196095.101.peg.508","fig|1196095.118.peg.2221","fig|1196095.99.peg.657","fig|1196095.115.peg.1884","fig|1196095.120.peg.2216","fig|1196095.116.peg.1446","fig|1196095.132.peg.402","fig|1196095.113.peg.1951","fig|1196095.106.peg.532","fig|1196095.104.peg.2015","fig|1196095.107.peg.127","fig|1196095.127.peg.1422","fig|1196095.133.peg.288","fig|1196095.125.peg.1332","fig|1196095.134.peg.608","fig|1196095.117.peg.1364","fig|1196095.128.peg.658","fig|1196095.100.peg.1428","fig|1196095.115.peg.330","fig|1196095.132.peg.1531","fig|1196095.126.peg.1444","fig|1196095.111.peg.2240","fig|1196095.110.peg.183","fig|1196095.97.peg.775","fig|1196095.121.peg.86","fig|1196095.119.peg.916","fig|1196095.114.peg.1785","fig|1196095.96.peg.1060","fig|1196095.102.peg.1616","fig|1196095.103.peg.1193","fig|1196095.133.peg.2139","fig|1196095.108.peg.1265","fig|1196095.108.peg.712","fig|1196095.127.peg.2047","fig|1196095.135.peg.421","fig|1196095.129.peg.663","fig|1196095.129.peg.936","fig|1196095.112.peg.1228","fig|1196095.122.peg.151","fig|1196095.95.peg.40","fig|1196095.133.peg.1263","fig|1196095.105.peg.152","fig|1196095.113.peg.348","fig|1196095.130.peg.1706","fig|1196095.131.peg.1415","fig|1196095.123.peg.1845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000085:","fig|1196095.133.peg.2889","fig|1196095.101.peg.94","fig|1196095.112.peg.465","fig|1196095.111.peg.433","fig|1196095.118.peg.1696","fig|1196095.107.peg.584","fig|1196095.97.peg.433","fig|1196095.98.peg.1048","fig|1196095.129.peg.612","fig|1196095.123.peg.1336","fig|1196095.108.peg.866","fig|1196095.125.peg.1837","fig|1196095.104.peg.606","fig|1196095.113.peg.1382","fig|1196095.131.peg.249","fig|1196095.109.peg.989","fig|1196095.115.peg.656","fig|1196095.94.peg.259","fig|1196095.132.peg.1866","fig|1196095.110.peg.735","fig|1196095.125.peg.904","fig|1196095.120.peg.1284","fig|1196095.124.peg.2678","fig|1196095.127.peg.647","fig|1196095.128.peg.1816","fig|1196095.115.peg.644","fig|1196095.121.peg.1246","fig|1196095.130.peg.97","fig|1196095.96.peg.2283","fig|1196095.99.peg.1421","fig|1196095.102.peg.856","fig|1196095.103.peg.385","fig|1196095.116.peg.173","fig|1196095.95.peg.357","fig|1196095.106.peg.204","fig|1196095.135.peg.27","fig|1196095.117.peg.1263","fig|1196095.130.peg.277","fig|1196095.104.peg.1478","fig|1196095.121.peg.2146","fig|1196095.119.peg.826","fig|1196095.134.peg.95","fig|1196095.105.peg.1409","fig|1196095.122.peg.517","fig|1196095.126.peg.1865","fig|1196095.134.peg.1919","fig|1196095.114.peg.829","fig|1196095.100.peg.298","fig|1196095.133.peg.493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000097:","fig|1196095.133.peg.3379","fig|1196095.112.peg.1600","fig|1196095.128.peg.1511","fig|1196095.108.peg.1386","fig|1196095.114.peg.274","fig|1196095.106.peg.1088","fig|1196095.117.peg.1087","fig|1196095.99.peg.2426","fig|1196095.115.peg.1125","fig|1196095.116.peg.2220","fig|1196095.128.peg.1286","fig|1196095.100.peg.896","fig|1196095.134.peg.423","fig|1196095.123.peg.1514","fig|1196095.113.peg.1825","fig|1196095.109.peg.1221","fig|1196095.130.peg.2190","fig|1196095.134.peg.1412","fig|1196095.133.peg.2844","fig|1196095.107.peg.2226","fig|1196095.131.peg.1299","fig|1196095.124.peg.2320","fig|1196095.126.peg.1462","fig|1196095.103.peg.1729","fig|1196095.118.peg.1845","fig|1196095.121.peg.2713","fig|1196095.111.peg.1073","fig|1196095.128.peg.1955","fig|1196095.96.peg.113","fig|1196095.104.peg.1457","fig|1196095.98.peg.1165","fig|1196095.129.peg.328","fig|1196095.120.peg.1089","fig|1196095.97.peg.1885","fig|1196095.130.peg.1091","fig|1196095.110.peg.1638","fig|1196095.94.peg.463","fig|1196095.125.peg.1401","fig|1196095.131.peg.893","fig|1196095.119.peg.462","fig|1196095.102.peg.578","fig|1196095.135.peg.2142","fig|1196095.101.peg.1798","fig|1196095.122.peg.1481","fig|1196095.105.peg.2337","fig|1196095.95.peg.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000141:","fig|1196095.133.peg.1669","fig|1196095.115.peg.662","fig|1196095.110.peg.996","fig|1196095.107.peg.590","fig|1196095.101.peg.98","fig|1196095.104.peg.997","fig|1196095.123.peg.1332","fig|1196095.108.peg.862","fig|1196095.111.peg.1906","fig|1196095.105.peg.294","fig|1196095.102.peg.861","fig|1196095.113.peg.1378","fig|1196095.134.peg.1924","fig|1196095.129.peg.847","fig|1196095.120.peg.1279","fig|1196095.118.peg.2124","fig|1196095.132.peg.1871","fig|1196095.106.peg.274","fig|1196095.131.peg.1967","fig|1196095.94.peg.2144","fig|1196095.128.peg.1388","fig|1196095.98.peg.2379","fig|1196095.100.peg.302","fig|1196095.103.peg.389","fig|1196095.116.peg.102","fig|1196095.112.peg.459","fig|1196095.97.peg.428","fig|1196095.99.peg.2062","fig|1196095.95.peg.352","fig|1196095.121.peg.2156","fig|1196095.117.peg.740","fig|1196095.135.peg.22","fig|1196095.119.peg.830","fig|1196095.130.peg.272","fig|1196095.122.peg.521","fig|1196095.124.peg.881","fig|1196095.127.peg.660","fig|1196095.126.peg.1869","fig|1196095.131.peg.1473","fig|1196095.127.peg.669","fig|1196095.109.peg.356","fig|1196095.125.peg.893","fig|1196095.96.peg.2278","fig|1196095.114.peg.834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000153:","fig|1196095.133.peg.3352","fig|1196095.110.peg.1522","fig|1196095.115.peg.2024","fig|1196095.99.peg.1616","fig|1196095.102.peg.35","fig|1196095.121.peg.900","fig|1196095.131.peg.799","fig|1196095.107.peg.2081","fig|1196095.94.peg.1487","fig|1196095.130.peg.824","fig|1196095.128.peg.1023","fig|1196095.111.peg.1328","fig|1196095.105.peg.949","fig|1196095.98.peg.767","fig|1196095.116.peg.876","fig|1196095.129.peg.26","fig|1196095.134.peg.794","fig|1196095.101.peg.1717","fig|1196095.112.peg.1404","fig|1196095.132.peg.1644","fig|1196095.100.peg.1074","fig|1196095.109.peg.2381","fig|1196095.103.peg.1546","fig|1196095.114.peg.26","fig|1196095.133.peg.4","fig|1196095.122.peg.366","fig|1196095.135.peg.2039","fig|1196095.108.peg.976","fig|1196095.117.peg.2155","fig|1196095.127.peg.1541","fig|1196095.95.peg.1678","fig|1196095.120.peg.1930","fig|1196095.96.peg.677","fig|1196095.124.peg.140","fig|1196095.97.peg.1608","fig|1196095.104.peg.1769","fig|1196095.123.peg.176","fig|1196095.125.peg.2023","fig|1196095.105.peg.883","fig|1196095.118.peg.1206","fig|1196095.126.peg.351","fig|1196095.106.peg.1765","fig|1196095.119.peg.231","fig|1196095.113.peg.981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000190:","fig|1196095.133.peg.34","fig|1196095.96.peg.1800","fig|1196095.131.peg.875","fig|1196095.119.peg.1124","fig|1196095.100.peg.160","fig|1196095.121.peg.523","fig|1196095.128.peg.1316","fig|1196095.102.peg.606","fig|1196095.130.peg.1109","fig|1196095.124.peg.1987","fig|1196095.95.peg.1895","fig|1196095.122.peg.1889","fig|1196095.135.peg.489","fig|1196095.132.peg.187","fig|1196095.99.peg.978","fig|1196095.129.peg.310","fig|1196095.105.peg.1639","fig|1196095.116.peg.1248","fig|1196095.94.peg.865","fig|1196095.113.peg.1719","fig|1196095.115.peg.929","fig|1196095.104.peg.45","fig|1196095.123.peg.1035","fig|1196095.120.peg.25","fig|1196095.121.peg.589","fig|1196095.134.peg.441","fig|1196095.118.peg.2479","fig|1196095.111.peg.2311","fig|1196095.126.peg.1320","fig|1196095.101.peg.1330","fig|1196095.106.peg.324","fig|1196095.108.peg.1672","fig|1196095.109.peg.893","fig|1196095.107.peg.346","fig|1196095.112.peg.212","fig|1196095.125.peg.2413","fig|1196095.127.peg.2166","fig|1196095.110.peg.1428","fig|1196095.97.peg.1426","fig|1196095.117.peg.1168","fig|1196095.114.peg.1415","fig|1196095.98.peg.1977","fig|1196095.103.peg.764","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000217:","fig|1196095.133.peg.3476","fig|1196095.106.peg.1701","fig|1196095.104.peg.1629","fig|1196095.114.peg.912","fig|1196095.121.peg.826","fig|1196095.120.peg.1742","fig|1196095.133.peg.2184","fig|1196095.113.peg.40","fig|1196095.117.peg.2589","fig|1196095.129.peg.1062","fig|1196095.102.peg.412","fig|1196095.111.peg.2034","fig|1196095.108.peg.2029","fig|1196095.134.peg.992","fig|1196095.107.peg.1310","fig|1196095.135.peg.1738","fig|1196095.105.peg.2296","fig|1196095.132.peg.460","fig|1196095.103.peg.430","fig|1196095.109.peg.2125","fig|1196095.118.peg.2053","fig|1196095.95.peg.1079","fig|1196095.98.peg.561","fig|1196095.127.peg.742","fig|1196095.112.peg.275","fig|1196095.123.peg.1248","fig|1196095.126.peg.20","fig|1196095.101.peg.177","fig|1196095.116.peg.2022","fig|1196095.128.peg.2668","fig|1196095.115.peg.751","fig|1196095.131.peg.1898","fig|1196095.122.peg.604","fig|1196095.130.peg.1848","fig|1196095.124.peg.502","fig|1196095.125.peg.922","fig|1196095.100.peg.776","fig|1196095.97.peg.1727","fig|1196095.96.peg.1125","fig|1196095.99.peg.1166","fig|1196095.94.peg.2007","fig|1196095.119.peg.784","fig|1196095.110.peg.2342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000287:","fig|1196095.133.peg.2095","fig|1196095.121.peg.2550","fig|1196095.95.peg.2003","fig|1196095.134.peg.960","fig|1196095.102.peg.2306","fig|1196095.117.peg.1008","fig|1196095.98.peg.521","fig|1196095.114.peg.2051","fig|1196095.132.peg.1288","fig|1196095.94.peg.1799","fig|1196095.119.peg.1257","fig|1196095.107.peg.741","fig|1196095.108.peg.1849","fig|1196095.97.peg.2022","fig|1196095.120.peg.2458","fig|1196095.126.peg.257","fig|1196095.96.peg.24","fig|1196095.101.peg.384","fig|1196095.127.peg.1882","fig|1196095.103.peg.1108","fig|1196095.130.peg.2026","fig|1196095.133.peg.1894","fig|1196095.135.peg.1363","fig|1196095.112.peg.1349","fig|1196095.110.peg.544","fig|1196095.100.peg.1729","fig|1196095.109.peg.1818","fig|1196095.118.peg.421","fig|1196095.104.peg.1372","fig|1196095.131.peg.483","fig|1196095.99.peg.349","fig|1196095.128.peg.585","fig|1196095.111.peg.589","fig|1196095.105.peg.1274","fig|1196095.129.peg.1314","fig|1196095.124.peg.2393","fig|1196095.116.peg.2302","fig|1196095.113.peg.1748","fig|1196095.106.peg.2307","fig|1196095.115.peg.1657","fig|1196095.123.peg.1904","fig|1196095.125.peg.1565","fig|1196095.122.peg.1702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OG0000378:","fig|1196095.133.peg.3384","fig|1196095.117.peg.609","fig|1196095.120.peg.1866","fig|1196095.100.peg.121","fig|1196095.113.peg.927","fig|1196095.94.peg.1558","fig|1196095.124.peg.782","fig|1196095.135.peg.1075","fig|1196095.107.peg.1564","fig|1196095.123.peg.61","fig|1196095.125.peg.777","fig|1196095.97.peg.1552","fig|1196095.111.peg.1627","fig|1196095.121.peg.2475","fig|1196095.95.peg.1749","fig|1196095.129.peg.110","fig|1196095.122.peg.1220","fig|1196095.128.peg.1097","fig|1196095.98.peg.2393","fig|1196095.104.peg.201","fig|1196095.103.peg.721","fig|1196095.112.peg.1930","fig|1196095.108.peg.1945","fig|1196095.106.peg.2042","fig|1196095.118.peg.2293","fig|1196095.105.peg.1905","fig|1196095.127.peg.1053","fig|1196095.110.peg.1176","fig|1196095.102.peg.1107","fig|1196095.96.peg.762","fig|1196095.134.peg.2266","fig|1196095.99.peg.2485","fig|1196095.101.peg.1539","fig|1196095.109.peg.779","fig|1196095.116.peg.2838","fig|1196095.115.peg.1488","fig|1196095.126.peg.2023","fig|1196095.130.peg.944","fig|1196095.131.peg.724","fig|1196095.114.peg.1108","fig|1196095.132.peg.53","fig|1196095.119.peg.264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
